Year ended 30 June,Year ended 30 June,2021,2020
Petroleum,,,
United States - Conventional,Scope1,110,80
United States - Conventional,Scope2,。,0
United States - Conventional,Equity share GHG total,110,80
United States - Conventional,Scope 115),170,250
Australia,Scope2,。,0
Australia,Equity share GHG total,170,250
Australia,Scope1,160,90
Other,Scope 2,。,10
Other,Equity share GHG total,160,100
Other,Scope1,440,420
Total petroleum,Scope2,。,10
Total petroleum,Equity share GHG total,440,430
Total petroleum,,,
"Copper Escondida, Chile",,490,490
"Pampa Norte, Chile",Scope1 Scope 2,570,640
"Pampa Norte, Chile",Equity share GHG total,"1,060",1.130
"Pampa Norte, Chile",Scope1,300,360
"Olympic Dam, Australia",Scope 2,550,530
"Olympic Dam, Australia",Equity share GHG total,850,890
"Olympic Dam, Australia",Scope1,230,230
Totalcopper,Scope2,460,450
Totalcopper,Equity share GHG total,690,680
Totalcopper,Scope1,"1,020",1080
,Scope2,"1,580",1.620
,Equity share GHG total,,
,,"2,600",2.700
"Iron ore Western Australia Iron Ore, Australia Scope1",,,
,Scope 2,"1,900",1.880
,Equity share GHG total,220,220
Total iron ore,Scope1,"2,120",2.100
Total iron ore,,"1,900",1.880
Total iron ore,Scope2,220,220
,Equity share GHG total,,"2,100"
,,"2,120",
