,,,2020 Restated,2020 Restated
,2021,Non-current,Current,Non-current
US$M,Current,,,
Interest bearing liabilities Bank loans,437,"1,823",737,1.755
Notes and debentures,"1,244","13,525",3.354,17.691
Lease liabilities,889,"3,007",853,2.590
Bank overdraftandshort-termborrowings,-,-,-,1
Other Total interest bearing liabilities,58,-,68,1
,"2,628","18,355","5,012",22.036
Less: Lease liability associated with index-linked freight contracts,346,679,379,781
Less: Cash and cash equivalents,,,,
Cash,"4,408",,3.493,
Short-term deposits,"10,838",,9.933,
Less: Total cash and cash equivalents,"15,246",-,13.426,
Less: Derivatives included in net debt,,,,
Net debt managementrelatedinstruments(),20,537,(162),595
Net cash management related instruments(2),34,-,(15),二
Less: Total derivatives included in net debt,54,537,(177),595
Netdebt,,"4,121",,12.044
Net assets(3) Gearing,,"55,605 6.9%",,"52,175 18.8%"
