,,,,,,,,,,As at 30 June 2020 Total Resources,As at 30 June 2020 Total Resources,As at 30 June 2020 Total Resources,As at 30 June 2020 Total Resources,As at 30 June 2020 Total Resources
Inferred Resources,Inferred Resources,Inferred Resources,Inferred Resources,Inferred Resources,Total Resources,Total Resources,Total Resources,Total Resources,Total Resources,,,,,
Mt,%TCu,%SCuppmMo,,g/tAu,Mt%TCu,,%SCu_ppmMo,,g/tAu,,Mt %TCu,,%SCuppmMo,g/tAu
3.0,0.78,1,1,1,141,,,,57.5,160,0.63,1,1,
23,0.45,1,,,152,0.60 0.49,1 =,、,,186,0.52,,1,
"10,400",0.53,1,,,"19,400",0.55,1,,,"19,000",0.55,1,,
,6.0 0.59,0.41,,,187,0.63,0.44,1,100,195,0.63,0.44,,
,20 0.66,0.10,,,155,0.61,0.11,1,,157,0.61,0.11,,
,26 0.43,1,,,212,0.43,1,二,,,0.43,-,,
"1,610",0.37,,,,"1,610",0.37,1,,,"217 1,500",0.37,1,,
,,,,,29,0.66,0.40,,100,38,0.63,0.42,,
,,,,,0.7,0.26,0.12,,,,0.18,,,
0.2,0.42,0.09,,,111,0.58,,,,59 124,0.59,,,
,,,1,,21,0.64,0.10 1,100,,23,0.66,,1 100,
,1 981 0.39,1,90,1,2.390,0.43,1,120,1,"2,220",0.44,,130,二
6.000,0.43,,=,0.04,"7,440",0.45,二,1,0.05 57.5,"7,440",0.45,二,1,0.05
,15 0.54,,,1,188,0.57,,二,57.5 1,188,0.57,,,1
,37 0.45,,,,60,0.47,,,,60,0.47,,,
,84 0.60,、,,1,223,0.54,二,二,57.5,223,0.54,1,,1
,Mt %Cu,kg/tU2O8,g/tAu,g/tAg,Mt,%Cu,kg/tU3O8,g/tAu,g/tAg,Mt,%Cu,kg/tU2O8,g/tAu,g/tAg
3.170,0.60,0.20,0.24,1,"10,100",0.62,0.21,0.28,1 100,"10,070",0.62,0.21,0.27,1
80,1.58,0.43,0.65,3,1.070,1.67,0.49,0.64,3,1.041,1.68,0.47,0.63,3
,Mt %Cu,%Zn,g/tAg,ppmMo,Mt,%Cu,%Zn,g/tAg ppmMo,,Mt,%Cu,%Zn,g/tAg,ppmMo
,621 0.82,0.14,8,200,"1,250",0.83,0.13,8,230 33.75,"1,230",0.82,0.13,8,280
240,1.03,1.50,15,60,554,0.96,1.67,16,70,563,0.94,1.73,16,90
,242 1.31,0.22,12,110,242,1.31,0.22,12,110,301,1.31,0.22,11,210
,168 1.20,1.41,17,50,168,1.20,1.41,17,50,171,1.28,1.54,17,80
