,,opered,Operated asset size(km2),Type of operated,Biodiversity areaclassification type,Habitat
Australia,Commodity,,,asset,,
Queensland,Coal,BMA,1.263,Extractive,DPA,Maritime
Queensland,Coal,BMA,1263,Extractive,DPA,Terrestrial
Queensland,Coal,BMA,890,Manufacturing/production,DPA,Terrestrial
Queensland,,,,Extractive,DPA,
Queensland,Coal Coal,BMA BMA,1263 890,Manufacturing/production,DPA,Terrestrial Terrestrial
Queensland,Coal,BMC,349,Extractive,DPA,Terrestrial
South Australia,"Copper,uranium,gold,silver",Olympic Dam,21.889,Manufacturing/production,HBVA,Terrestrial
South Australia,"Copper,uranium, gold,silver",Olympic Dam,21.889,Manufacturing/production,HBVA,Terrestrial
South Austraia,"Copper,uranium, gold,silver",Olympic Dam,"21,889",Manufacturing/production,HBVA,
South Australia,"Copper,uranium,goldsilver",Olympic Dam,"21,889",Manufacturing/production,HBVA,Terrestrial Terrestrial
South Australia,"Copper,uranium,goldsilver",Olympic Dam,"21,889",Manufacturing/production,DPA,Terrestrial
South Australia,"Copper,uranium,goldsier",Olympic Dam,21.889,Manufacturing/production,DPA,Terrestrial
South Australia,"Copper,uranium,gold,siler",Olympic Dam,21.889,Manufacturing/production,DPA,Terrestrial
South Australia,"Copper,uranium,goldsier",Olympic Dam,21.889,Manufacturing/production,DPA,Terrestrial
South Australia,"Copper,uranium,gold,siler",Olympic Dam,21889,Manufacturing/production,DPA,Terrestrial
South Australia,"Copper,uranium,gold,siler",Olympic Dam,2189,Manufacturing/production,DPA,Terrestrial
South Australia,"Copper,uranium,gold,silver",Olympic Dam,21.89,Manufacturing/production,DPA,Freshwater
South Australia,"Copper,uranium,gold,silver",Olympic Dam,21.889,Manufacturing/production,DPA,Terrestrial
South Australia,"Copper uranium,goldsier",Olympic Dam,21.889,Manufacturing/production,DPA,Terrestrial
Western Australia,Nickel,NickelWest,"5,427",Manufacturing/production,DPA,Terrestrial
Western Australia,Nickel,NickelWest,701,Extractive,DPA,Terrestrial
Western Australia,Nickel,NickelWest,"5,427",Manufacturing/production,DPA,Terrestrial
Western Australia,Nickel,NickelWest,"5,427",Manufacturing/production,DPA,Terrestrial
Western Australia,Nickel,Nickel West,"5,427",Manufacturing/production,DPA,Terrestrial
Western Australia,Nickel,NickelWest,5427,Manufacturing/production,DPA,Terrestrial
Western Australia,Nickel,NickelWest,"5,427",Manufacturing/production,DPA,Terrestrial
Western Australia,Iron ore,WAIO,"3,667",Extractive,DPA,Terrestrial
Western Australia,Iron ore,WAIO,3.667,Extractive,HBVA,Freshwater
Western Australia,Iron ore,WAIO,8.295,Manufacturing/production,HBVA,Freshwater
Western Australia Western Australia,Titanium,Beenup,7,Extractive,DPA,Terrestrial
Western Australia,Oiland gas Oiland gas,Pyrenees Pyrenees,558 558,Manufacturing/production Manufacturing/production,DPA DPA,Maritime
,,,,,,Mritime
Western Australia Victoria,Oiland gas,Stybarrow,240,Manufacturing/production,DPA,Maritime
Canada,Oiland gas,Minerva,66,Manufacturing/production,DPA,Terrestrial
Saskatchewan,,,,,,
Nova Scotia,Potash Legacy assets/closed,Jansen East Kemptvile 11,56,Extractive Extractive,DPA DPA,Terrestrial Terrestrial
,sites/R&CM,,,,,
Nova Scotia,Legacy assets/closed sites/R&CM,East Kemptville 1,,Extractive,DPA,Terrestrial
United States,,,,,,
Arizona,Legacy assets/closed,San Manuel,115,Extractive,HBVA,Terrestrial
Chile,sites/R&CM,,,,,
Antofagasta,Copper,Spence,624,Extractive,HBVA,Terrestrial
Antofagasta,Copper,Spence,624,Extractive,DPA,Terrestrial
Antofagasta,Copper,Spence,624,Extractive,HBVA,Terrestrial
Antofagasta,Copper,Cerro Colorado 326,,Extractive,HBVA,Terrestrial
Antofagasta,Copper,Escondida,1.572,Extractive,DPA,Terrestrial
Antofagasta,Copper,Escondida,1.572,Extractive,HBVA,Terrestrial
