Mine&location,Means of access Ownership,,Operator,"Title, leases or options",History,Mine type & mineralisation style,Power source,"Facilities,use& condition"
Cliffs mine,,,,Mining leases,,,,
"481km north of Kalgoorlie, Western Australia",Private road Nickel ore transported,BHP100%,BHP,granted by Western,Production commenced in 2008,Underground Steeply dipping massive textured,Supplied from Mt Mine site Keith,
,by road to Leinster or Mt,,,Australian Government,Acquired in 2005 nickel-sulphide as part of WMC,,,
,Keith for further,,,,,mineralisation,,
,processing,,,Key leases expire acquisition,,associated with,,
,,,,between 2025 and 2028,,metamorphosed ultramafic lava flows,,
,,,,First renewal of 21 years is as of,,,,
,,,,right.Further,,,,
,,,,renewals at,,,,
,,,,government discretion,,,,
