,,,Short-term benefits,Short-term benefits,Short-term benefits,Post- employment benefits,Post- employment benefits,Share-based payments,Share-based payments
Us$('000),Financial year,salary(1),BaseAnnualcash incentive(2),Non- monetary benefits(3),Other benefits(4),Retirement benefits(5),Value of CDP/STIP awards(2)(6),Value of LTIP awards(6),Total
Executive Director,,,,,,,,,
Mike Henry,FY2021,"1,700","1,564",120,,170,"1,487","2,315","7,356"
,FY2020,1400,1075,129,,223,907,"2,299",6.033
Andrew Mackenzie(7),FY2020,850,653,124,1,213,"1,202","2,038",5.080
Other Executive KMP,,,,,,,,,
Edgar Basto,FY2021,950,866,60,1,95,432,839,"3,242"
Peter Beaven7),FY2021,417,400,39,1,83,876,787,"2,602"
,FY2020,1000,848,41,,250,810,2.090,5.039
David Lamont,FY2021,554,510,42,=,55,167,935,"2,263"
Daniel Malchuk7,FY2021,333,307,23,1,67,765,620,"2,115"
,FY2020,1000,816,38,,250,797,2.090,"4,991"
Geraldine Slattery,FY2021,800,800,25,1,160,777,930,"3,492"
,FY2020,750,618,-,1,188,378,903,2.837
Ragnar Udd,FY2021,567,521,49,420,57,190,483,"2,287"
