Deposit,Ore type,Mineral Resources,Ore Reserves
Leinster,OC,,≥ 0.40%Ni
Leinster,OC Disseminated Sulphide,≥ 0.40%Ni,
Leinster,OC Massive Sulphide,Stratigraphic,
Leinster,UG,,≥ 0.90%Ni
Leinster,UG Disseminated Sulphide,Variable between stratigraphic for block cave and ≥1.0% Ni,
Leinster,UG Massive Sulphide,Stratigraphic,
Leinster,Oxide,≥ 1.2%Ni,
Leinster,"SP, SP oxidised",,-
Mt Keith,OC Disseminated Sulphide,Variable between 0.35%Ni and 0.40%Ni,
Mt Keith,OC,,≥ 0.35%Ni and ≥ 0.18% recoverable Ni
Mt Keith,SP,,-
Cliffs,UG Disseminated Sulphide,≥ 0.40%Ni,
Cliffs,UG Massive Sulphide,Stratigraphic,
Cliffs,UG,,≥ 1.2%Ni
Yakabindie,OC Disseminated Sulphide,≥ 0.35%Ni,
Yakabindie,OC,,≥ 0.35%Ni and ≥ 0.18% recoverable Ni
Yakabindie,SP,,-
Venus,UG Disseminated Sulphide,≥ 0.40%Ni,
Venus,UG Massive Sulphide,Stratigraphic,
Venus,UG,,≥ 0.9%Ni
Honeymoon Well,OC Disseminated Sulphide,≥ 0.35%Ni,
Honeymoon Well,UG Disseminated Sulphide,≥ 0.40%Ni,
Honeymoon Well,UG Massive Sulphide,Stratigraphic,
Jericho,OC Disseminated Sulphide,≥ 0.40%Ni,
West Jordan,OC Disseminated Sulphide,≥ 0.40%Ni,
