Net book value-30 June 2020,Net book value-30 June 2020,Net book value-30 June 2020,Net book value-30 June 2020,Net book value-30 June 2020,Net book value-30 June 2020,Net book value-30 June 2020
Atthe begining of thefinancialyear,"7,885","38,174","9,211","11,149","1,622",68.041
Impact of adopting IFRS 16,754,"1,400",-,-,-,2.154
Additions(1),115,1.719,684,"6,100",218,8.836
Remeasurements of index-linked freight contracts(3),-,733,1,1,1,733
Depreciation for the year,(630),(5.104),(294),1,-,(6.028)
Impairments for the year(4),（17）,（189）,(288),=,1,(494)
Disposals,（12）,(22),-,1,(65),（99)
Transfersandothermovements,292,2.718,(661),"(3,475)",345,（781)
Atthe end of the financialyear6),8.387,"39,429","8,652","13,774","2,120","72,362"
- Cost,"13,932","97,230","13,736","13,774",2.899,141.571
- Accumulated depreciation and impairments,"(5,545)","(57,801)",(5.084),1,（779),"(69,209)"
