Australia Production Unit,327,361,507
Bass Strait,"1,066","1,102","1,237"
North West Shelf,893,"1,076","1,657"
Atlantis,560,561,979
Shenzi,417,277,540
Mad Dog,231,216,319
Trinidad/Tobago,204,191,287
Algeria,164,159,258
Third-party products,11,39,10
Other,73,88,136
Total Petroleum,"3,946","4,070","5,930"
Escondida,"9,470","6,719","6,876"
Pampa Norte,"1,801","1,395","1,502"
Olympic Dam,"2,211","1,463","1,351"
Third-party products,"2,244","1,089","1,109"
Total Copper,"15,726","10,666","10,838"
Western Australia Iron Ore,"34,337","20,663","17,066"
Third-party products,18,15,32
Other,120,119,157
Total Iron Ore,"34,475","20,797","17,255"
Queensland Coal,"4,315","5,357","7,679"
New South Wales Energy Coal,839,885,"1,421"
Third-party products,-,-,19
Other,-,-,2
Total Coal,"5,154","6,242","9,121"
Group and unallocated items,"1,567","1,219","1,225"
Inter-segment adjustment,-51,-63,-81
Total revenue,"60,817","42,931","44,288"
