Country,Resource,Location,Quantity,Type,Agency,Environment
South Australia,Copper,uranium,gold,silver,Olympic Dam,"21,000,Manufacturing/production,DPA,Terrestrial"
Western Australia,Nickel,Nickel West,5,427,Extractive,"DPA,Terrestrial"
Western Australia,Nickel,Nickel West,5,427,Manufacturing/production,"DPA,Terrestrial"
Western Australia,Iron ore,WAIO,3,667,Extractive,"DPA,Terrestrial"
Western Australia,Iron ore,WAIO,8,295,Manufacturing/production,"HBVA,Freshwater"
Western Australia,Titanium,Beenup,7,Extractive,DPA,Terrestrial
Western Australia,Oil and gas,Pyrenees,558,Manufacturing/production,DPA,Maritime
Western Australia,Oil and gas,Stybarrow,240,Manufacturing/production,DPA,Maritime
Victoria,Oil and gas,Minerva,66,Manufacturing/production,DPA,Terrestrial
Canada,Potash,Jansen,56,Extractive,DPA,Terrestrial
Saskatchewan,Legacy assets/closed sites/R&CM,East Kemptville,11,Extractive,DPA,Terrestrial
Nova Scotia,Legacy assets/closed sites/R&CM,East Kemptville,11,Extractive,DPA,Terrestrial
United States,Legacy assets/closed sites/R&CM,San Manuel,115,Extractive,HBVA,Terrestrial
Chile,Copper,Spence,624,Extractive,HBVA,Terrestrial
Chile,Copper,Spence,624,Extractive,DPA,Terrestrial
Chile,Copper,Cerro Colorado,326,Extractive,HBVA,Terrestrial
Chile,Copper,Escondida,1,572,Extractive,"DPA,Terrestrial"
Chile,Copper,Escondida,1,572,Extractive,"HBVA,Terrestrial"
