,2021,2021,2021,2020,2020,2020
,Land and buildings US$M,Plant and equipment US$M,Total US$M,butSs Landand,Plant and quIDM,Total US$M
Net book value,,,,,,
Atthebeginningofthefinancialyear),689,"2,358","3,047",1,492,492
Assets recognised on adoption of IFRS 16,-,-,-,754,"1,400",2.154
Additions,25,"1,227","1,252",104,332,436
Remeasurements of index-linkedfreight contracts,-,(59),(59),-,733,733
Depreciation expensed during the period,(111),(670),(781),（113),(543),(656)
Depreciation classified as exploration,-,(19),(19),-,(34）,(34)
Impairments,(30),(2),(32),（2）,(22),（24）
Transfers and other movements,65,(123),(58),(54),-,(54)
Atthe endofthefinancial year,638,"2,712","3,350",689,2.358,3.047
- Cost,897,"4,393","5,290",804,3.349,4.153
- Accumulated depreciationand impairments,(259),"(1,681)","(1,940)",(115),（991),"(1,106)"
