US$M,Share capital,Treasury shares (1),Share premium account,Capital redemption reserve,Profit and loss account,Total equity
Balance as at 1 July 2020,"1,057",-,518,177,"7,622","9,374"
Profit for the year after taxation,-,-,-,-,"1,933","1,933"
Other comprehensive income for the year:,-,-,-,-,-,-
Actuarial loss on pension scheme,-,-,-,-,-1,1
Total comprehensive income for the year,-,-,-,-,"1,932","1,932"
Transactions with owners:,-,-,-,-,,
Purchase of shares by ESOP trusts,-,(5),-,-,(5),-5
Employee share awards exercised net of employee contributions net of tax,-,4,-,-,(4),-4
Accrued employee entitlement for unexercised awards net of tax,-,-,-,-,1,1
Dividends,-,-,-,-,"-3,295","-3,295"
Balance as at 30 June 2021,"1,057",-1,518,177,"6,256","8,007"
Balance as at 1 July 2019,"1,057",-,518,177,"9,588","11,340"
Profit for the year after taxation,-,-,-,-,"1,054","1,054"
Other comprehensive income for the year:,-,-,-,-,,
Tax on employee entitlements taken to retained earnings,-,-,-,-,,
Actuarial loss on pension scheme,-,-,-,-,,-
Total comprehensive income for the year,-,-,-,-,"1,054","1,054"
Transactions with owners:,-,-,-,-,,
Purchase of shares by ESOP trusts,-,(4),-,-,(4),-4
Employee share awards exercised net of employee contributions net of tax,-,4,-,-,(4),-4
Accrued employee entitlement for unexercised awards net of tax,-,-,-,-,,4
Dividends,-,-,-,-,"-3,020","4 (3,020)"
Balance as at 30 June 2020,"1,057",-,518,177,"7,622","9,374"
