Year ended 30 June,2021,2020,2019
Petroleum,United States - Conventional,Scope 1,"190,200,200"
Petroleum,United States - Conventional,Scope 2 (market-based),"0.0,0.0,0.0"
Petroleum,United States - Conventional,Operational GHG total,"190,200,200"
Petroleum,United States - Conventional,Production (Mboe),"8,820,7,800,9,340"
Petroleum,United States - Conventional,Operational GHG emissions intensity (ktCO2-e/Mboe)(14),"0.02,0.03,0.02"
Petroleum,Australia,Scope 1,"260,350,310"
Petroleum,Australia,Scope 2 (market-based),"0,0,0"
Petroleum,Australia,Operational GHG total,"260,350,310"
Petroleum,Australia,Production (Mboe),"11,420,11,570,12,170"
Petroleum,Australia,Operational GHG emissions intensity (ktCO2-e/Mboe)(14),"0.02,0.03,0.03"
Petroleum,Other,Scope 1,"330,200,710"
Petroleum,Other,Scope 2 (market-based),"0,20,20"
Petroleum,Other,Operational GHG total,"330,220,730"
Petroleum,Other,Production (Mboe),"9,310,10,320,13,630"
Petroleum,Other,Operational GHG emissions intensity (ktCO2-e/Mboe)(14),"0.04,0.02,0.05"
Petroleum,Total petroleum,Scope 1,"780,750,1,220"
Petroleum,Total petroleum,Scope 2,"0,20,20"
Petroleum,Total petroleum,Operational control GHG total,"780,770,1,240"
Copper,Escondida, Chile,"Scope 1,860,860,930"
Copper,Escondida, Chile,"Scope 2 (market-based),3,320,3,260,3,190"
Copper,Escondida, Chile,"Operational GHG total,4,180,4,120,4,120"
Copper,Escondida, Chile,"Production (kt),1,070,1,190,1,140"
Copper,Escondida, Chile,"Operational GHG emissions intensity (ktCO2-e/kt)(14),3.91,3.46,3.61"
Copper,Pampa Norte, Chile,"Scope 1,300,360,340"
Copper,Pampa Norte, Chile,"Scope 2 (market-based),550,530,550"
Copper,Pampa Norte, Chile,"Operational GHG total,850,890,890"
Copper,Pampa Norte, Chile,"Production (kt),220,240,250"
Copper,Pampa Norte, Chile,"Operational GHG emissions intensity (ktCO2-e/kt)(14),3.86,3.71,3.56"
Copper,Olympic Dam, Australia,"Scope 1,230,230,200"
Copper,Olympic Dam, Australia,"Scope 2 (market-based),460,450,470"
Copper,Olympic Dam, Australia,"Operational GHG total,690,680,670"
Copper,Olympic Dam, Australia,"Production (kt),210,170,160"
Copper,Olympic Dam, Australia,"Operational GHG emissions intensity (ktCO2-e/kt)(14),3.29,4.00,4.19"
Copper,Total copper,Scope 1,"1,390,1,450,1,470"
Copper,Total copper,Scope 2,"4,330,4,240,4,210"
Copper,Total copper,Operational control GHG total,"5,720,5,690,5,680"
Iron ore,Western Australia Iron Ore, Australia,"Scope 1,2,230,2,210,2,050"
Iron ore,Western Australia Iron Ore, Australia,"Scope 2 (market-based),260,260,260"
Iron ore,Western Australia Iron Ore, Australia,"Operational GHG total,2,490,2,470,2,310"
Iron ore,Western Australia Iron Ore, Australia,"Production (kt),284,100,281,060,269,600"
Iron ore,Western Australia Iron Ore, Australia,"Operational GHG emissions intensity (ktCO2-e/kt)(14),0.01,0.01,0.01"
Iron ore,Total iron ore,Scope 1,"2,230,2,210,2,050"
Iron ore,Total iron ore,Scope 2,"260,260,260"
Iron ore,Total iron ore,Operational control GHG total,"2,490,2,470,2,310"
Coal,Metallurgical coal - BMA, Queensland Coal,"Australia,Scope 1,3,950,3,620,3,520"
Coal,Metallurgical coal - BMA, Queensland Coal,"Australia,Scope 2 (market-based)(10),870,1,040,1,030"
Coal,Metallurgical coal - BMA, Queensland Coal,"Australia,Operational GHG total,4,820,4,660,4,550"
Coal,Metallurgical coal - BMA, Queensland Coal,"Australia,Production (kt),63,770,63,150,64,270"
Coal,Metallurgical coal - BMA, Queensland Coal,"Australia,Operational GHG emissions intensity (ktCO2-e/kt)(14),0.08,0.07,0.07"
Coal,Metallurgical coal - BMC, Queensland Coal,"Australia,Scope 1,510,460,420"
Coal,Metallurgical coal - BMC, Queensland Coal,"Australia,Scope 2 (market-based)(10),60,80,60"
Coal,Metallurgical coal - BMC, Queensland Coal,"Australia,Operational GHG total,570,540,480"
Coal,Metallurgical coal - BMC, Queensland Coal,"Australia,Production (kt),8,740,9,540,10,270"
Coal,Energy coal - New South Wales Energy Coal, Australia,"Scope 1,550,530,520"
Coal,Energy coal - New South Wales Energy Coal, Australia,"Scope 2 (market-based),80,80,90"
