,2021US$M,2021US$M,2020 2019US$M US$M,2020 2019US$M US$M,2020 2019US$M US$M,Recognition and measurement,
Share premium account,518,518,518 518,518 518,518 518,The share premium account represents the premium paid on the issue of BHP Group Plcshares recognised in accordance with the UK Companies Act 2006.,
Foreign currencytranslation reserve,43,43,39,39,37,Theforeigncurrencytranslation reserve represents exchange differencesarisingfrom the translation of non-US dollar functionalcurrency operations within the Group into US dollars.,
Employee shareawards reserve,268,268,246,246,213,"Theemployee shareawards reserve represents theaccrued employee entitlements toshare awards that have been charged to the income statement and have not yet beenexercised.Once exercised,the difference between the accumulated fair value of the awards andtheir historical on-market purchase price is recognised in retained earnings.",
Employee shareawards reserve,268,268,,,,"Theemployee shareawards reserve represents theaccrued employee entitlements toshare awards that have been charged to the income statement and have not yet beenexercised.Once exercised,the difference between the accumulated fair value of the awards andtheir historical on-market purchase price is recognised in retained earnings.",
Cash flow hedge reserve,100,100,50,50,213,114,"The cash flow hedge reserve represents hedging gains and losses recognised on theeffective portion of cash flow hedges.The cumulative deferred gain or loss on the hedge is recognised in the income statement when the hedged transaction impacts the incomestatement,or is recognised as anadjustment to the cost of non-financial hedged items.The hedging reserve records the portion of the gain or loss on a hedging instrument in a cash flow hedge that is determined to be an effective hedge relationship."
Cash flow hedge reserve,,,,,,,
Cost of hedging reserve,(54),(54),(23),(23),(74),"The cost of hedging reserve represents the recognition of certain costs of hedging forexample,basisadjustments,which havebeen excluded from the hedging relationshipand deferred in other comprehensive income untilthe hedged transaction impacts theincome statement.","The cash flow hedge reserve represents hedging gains and losses recognised on theeffective portion of cash flow hedges.The cumulative deferred gain or loss on the hedge is recognised in the income statement when the hedged transaction impacts the incomestatement,or is recognised as anadjustment to the cost of non-financial hedged items.The hedging reserve records the portion of the gain or loss on a hedging instrument in a cash flow hedge that is determined to be an effective hedge relationship."
Cost of hedging reserve,(54),(54),,,,"The cost of hedging reserve represents the recognition of certain costs of hedging forexample,basisadjustments,which havebeen excluded from the hedging relationshipand deferred in other comprehensive income untilthe hedged transaction impacts theincome statement.",enamelerbeasinotustmer
Equity investments reserve,15,15,16,16,17,"The equity investments reserve represents the revaluation of investments in sharesrecognised through other comprehensive income.Where a revalued financial assetis sold,the relevant portion of the reserve is transferred to retained earnings.",
Equity investments reserve,15,15,,,17,"The equity investments reserve represents the revaluation of investments in sharesrecognised through other comprehensive income.Where a revalued financial assetis sold,the relevant portion of the reserve is transferred to retained earnings.",
Capital redemption reserve,177,177,177,177,177,The capital redemption reserve represents the par value of BHP Group Plc shares thatwere purchased and subsequently cancelled.The cancellation of the shares createsa non-distributable capital redemption reserve.,
Non-controlling interestcontribution reserve,"1,283","1,283","1,283","1,283","1,283",The non-controling interest contribution reserve represents the excess of considerationreceived over the book value of net assets attributable to equity instruments whenacquired by non-controlling interests.,
,,,,,,The non-controling interest contribution reserve represents the excess of considerationreceived over the book value of net assets attributable to equity instruments whenacquired by non-controlling interests.,
Total reserves,"2,350","2,350","2.306 2,285","2.306 2,285","2.306 2,285",,
