US$M,Share capital,Treasury shares (1),Share premium account,Capital redemption reserve,Profit and loss account,Total equity
Balance as at 1 July 2020,1057,-,518,177,7622,9374
Profit for the year after taxation,-," ""-"""," ""-"""," ""-""", 1933,1933
Other comprehensive income for the year:,Tax on employee entitlements taken to retained earnings,-," ""-"""," ""-"""," ""-"""," ""-"""
Actuarial loss on pension scheme,-," ""-"""," ""-"""," ""-""", -1,1
Total comprehensive income for the year,-," ""-"""," ""-"""," ""-""", 1932,1932
Transactions with owners:,Purchase of shares by ESOP trusts,-," ""-"""," ""-"""," ""-""", -5
Employee share awards exercised net of employee contributions net of tax,-, 4,-," ""-""", -4,-
Accrued employee entitlement for unexercised awards net of tax,-," ""-"""," ""-"""," ""-""", 1,1
Dividends,-," ""-"""," ""-"""," ""-""", -3295,-3295
Balance as at 30 June 2021,1057,-1,518,177,6256,8007
Balance as at 1 July 2019,1057,-,518,177,9588,11340
Profit for the year after taxation,-," ""-"""," ""-"""," ""-""", 1054,1054
Other comprehensive income for the year:,Tax on employee entitlements taken to retained earnings,-," ""-"""," ""-"""," ""-"""," ""-"""
Actuarial loss on pension scheme,-," ""-"""," ""-"""," ""-""", -,-
Total comprehensive income for the year,-," ""-"""," ""-"""," ""-""", 1054,1054
Transactions with owners:,Purchase of shares by ESOP trusts,-," ""-"""," ""-"""," ""-""", -4
Employee share awards exercised net of employee contributions net of tax,-, 4,-," ""-""", -4,-
Accrued employee entitlement for unexercised awards net of tax,-," ""-"""," ""-"""," ""-""", 4,4
Dividends,-," ""-"""," ""-"""," ""-""", -3020,-3020
Balance as at 30 June 2020,1057,-,518,177,7622,9374
