1,Segment reporting,137
2,Revenue,139
3,Exceptional items,140
4,Significant events- Samarco dam failure,141
5,Expenses and other income,146
6,Income tax expense,147
7,Earnings per share,149
Working capital,Working capital,Working capital
8,Trade and other receivables,150
9,Trade and other payables,150
10,Inventories,151
Resource assets,Resource assets,Resource assets
11,"Property,plant and equipment",151
12,Intangible assets,154
13,Impairment of non-current assets,154
14,Deferred tax balances,158
15,Closureand rehabilitation provisions,159
Capital Structure,Capital Structure,Capital Structure
16,Share capital,161
17,Other equity,162
18,Dividends,163
19,Provisions for dividends and other liabilities,163
Financial Management,Financial Management,Financial Management
20,Net debt,164
21,Leases,165
22,Net finance costs,167
23,Financialrisk management,168
