"Mine type &Title, leases mineralisation Facilities, useMine &location Means of accessOwnership Operator or options History style Power source &condition","Mine type &Title, leases mineralisation Facilities, useMine &location Means of accessOwnership Operator or options History style Power source &condition","Mine type &Title, leases mineralisation Facilities, useMine &location Means of accessOwnership Operator or options History style Power source &condition","Mine type &Title, leases mineralisation Facilities, useMine &location Means of accessOwnership Operator or options History style Power source &condition","Mine type &Title, leases mineralisation Facilities, useMine &location Means of accessOwnership Operator or options History style Power source &condition","Mine type &Title, leases mineralisation Facilities, useMine &location Means of accessOwnership Operator or options History style Power source &condition","Mine type &Title, leases mineralisation Facilities, useMine &location Means of accessOwnership Operator or options History style Power source &condition","Mine type &Title, leases mineralisation Facilities, useMine &location Means of accessOwnership Operator or options History style Power source &condition","Mine type &Title, leases mineralisation Facilities, useMine &location Means of accessOwnership Operator or options History style Power source &condition","Mine type &Title, leases mineralisation Facilities, useMine &location Means of accessOwnership Operator or options History style Power source &condition","Mine type &Title, leases mineralisation Facilities, useMine &location Means of accessOwnership Operator or options History style Power source &condition","Mine type &Title, leases mineralisation Facilities, useMine &location Means of accessOwnership Operator or options History style Power source &condition","Mine type &Title, leases mineralisation Facilities, useMine &location Means of accessOwnership Operator or options History style Power source &condition","Mine type &Title, leases mineralisation Facilities, useMine &location Means of accessOwnership Operator or options History style Power source &condition","Mine type &Title, leases mineralisation Facilities, useMine &location Means of accessOwnership Operator or options History style Power source &condition",,,,,,,,,,
Escondida,Escondida,Escondida,Escondida,Escondida,Escondida,Escondida,Escondida,Escondida,Escondida,Escondida,Escondida,Escondida,Escondida,Escondida,,,,,,,,,,
Atacama DesertPrivate road BHP 57.5% BHP Mining Original 2 open-cut pits:,Atacama DesertPrivate road BHP 57.5% BHP Mining Original 2 open-cut pits:,Atacama DesertPrivate road BHP 57.5% BHP Mining Original 2 open-cut pits:,Atacama DesertPrivate road BHP 57.5% BHP Mining Original 2 open-cut pits:,Atacama DesertPrivate road BHP 57.5% BHP Mining Original 2 open-cut pits:,Atacama DesertPrivate road BHP 57.5% BHP Mining Original 2 open-cut pits:,Atacama DesertPrivate road BHP 57.5% BHP Mining Original 2 open-cut pits:,Atacama DesertPrivate road BHP 57.5% BHP Mining Original 2 open-cut pits:,Atacama DesertPrivate road BHP 57.5% BHP Mining Original 2 open-cut pits:,Atacama DesertPrivate road BHP 57.5% BHP Mining Original 2 open-cut pits:,Atacama DesertPrivate road BHP 57.5% BHP Mining Original 2 open-cut pits:,Escondida- Crushing facilities,Escondida- Crushing facilities,Escondida- Crushing facilities,Escondida- Crushing facilities,,,,,,,,,,
170 km southeastavailable for Rio Tinto 30% concession construction Escondida and,170 km southeastavailable for Rio Tinto 30% concession construction Escondida and,170 km southeastavailable for Rio Tinto 30% concession construction Escondida and,170 km southeastavailable for Rio Tinto 30% concession construction Escondida and,170 km southeastavailable for Rio Tinto 30% concession construction Escondida and,170 km southeastavailable for Rio Tinto 30% concession construction Escondida and,170 km southeastavailable for Rio Tinto 30% concession construction Escondida and,170 km southeastavailable for Rio Tinto 30% concession construction Escondida and,170 km southeastavailable for Rio Tinto 30% concession construction Escondida and,170 km southeastavailable for Rio Tinto 30% concession construction Escondida and,170 km southeastavailable for Rio Tinto 30% concession construction Escondida and,owned,owned,owned,feed concentrator,,,,,,,,,,
"of Antofagasta,publicuse JECO","of Antofagasta,publicuse JECO","of Antofagasta,publicuse JECO",from Chilean completed in,from Chilean completed in,from Chilean completed in,from Chilean completed in,from Chilean completed in,from Chilean completed in,from Chilean completed in,from Chilean completed in,transmission,transmission,transmission,and leaching,,,,,,,,,,
Chile Copper cathodeCorporation,Chile Copper cathodeCorporation,Chile Copper cathodeCorporation,Chile Copper cathodeCorporation,Government 1990 Escondida and,Government 1990 Escondida and,Government 1990 Escondida and,Government 1990 Escondida and,Government 1990 Escondida and,Government 1990 Escondida and,Government 1990 Escondida and,lines connect to,lines connect to,lines connect to,processes,,,,,,,,,,
transported by consortium,transported by consortium,transported by consortium,transported by consortium,transported by consortium,"transported by Corporation valid indefinitelyStart of Escondida Norteconsortium(subjecttomineral depositsprivately ownedcomprising operationspayment ofrail to ports at Mitsubishi, of the third are adjacent","transported by Corporation valid indefinitelyStart of Escondida Norteconsortium(subjecttomineral depositsprivately ownedcomprising operationspayment ofrail to ports at Mitsubishi, of the third are adjacent","transported by Corporation valid indefinitelyStart of Escondida Norteconsortium(subjecttomineral depositsprivately ownedcomprising operationspayment ofrail to ports at Mitsubishi, of the third are adjacent","transported by Corporation valid indefinitelyStart of Escondida Norteconsortium(subjecttomineral depositsprivately ownedcomprising operationspayment ofrail to ports at Mitsubishi, of the third are adjacent","transported by Corporation valid indefinitelyStart of Escondida Norteconsortium(subjecttomineral depositsprivately ownedcomprising operationspayment ofrail to ports at Mitsubishi, of the third are adjacent","transported by Corporation valid indefinitelyStart of Escondida Norteconsortium(subjecttomineral depositsprivately ownedcomprising operationspayment ofrail to ports at Mitsubishi, of the third are adjacent","transported by Corporation valid indefinitelyStart of Escondida Norteconsortium(subjecttomineral depositsprivately ownedcomprising operationspayment ofrail to ports at Mitsubishi, of the third are adjacent","transported by Corporation valid indefinitelyStart of Escondida Norteconsortium(subjecttomineral depositsprivately ownedcomprising operationspayment ofrail to ports at Mitsubishi, of the third are adjacent","transported by Corporation valid indefinitelyStart of Escondida Norteconsortium(subjecttomineral depositsprivately ownedcomprising operationspayment ofrail to ports at Mitsubishi, of the third are adjacent","transported by Corporation valid indefinitelyStart of Escondida Norteconsortium(subjecttomineral depositsprivately ownedcomprising operationspayment ofrail to ports at Mitsubishi, of the third are adjacent",,,,,,,,,,
,,,,,"transported by Corporation valid indefinitelyStart of Escondida Norteconsortium(subjecttomineral depositsprivately ownedcomprising operationspayment ofrail to ports at Mitsubishi, of the third are adjacent","transported by Corporation valid indefinitelyStart of Escondida Norteconsortium(subjecttomineral depositsprivately ownedcomprising operationspayment ofrail to ports at Mitsubishi, of the third are adjacent","transported by Corporation valid indefinitelyStart of Escondida Norteconsortium(subjecttomineral depositsprivately ownedcomprising operationspayment ofrail to ports at Mitsubishi, of the third are adjacent","transported by Corporation valid indefinitelyStart of Escondida Norteconsortium(subjecttomineral depositsprivately ownedcomprising operationspayment ofrail to ports at Mitsubishi, of the third are adjacent","transported by Corporation valid indefinitelyStart of Escondida Norteconsortium(subjecttomineral depositsprivately ownedcomprising operationspayment ofrail to ports at Mitsubishi, of the third are adjacent","transported by Corporation valid indefinitelyStart of Escondida Norteconsortium(subjecttomineral depositsprivately ownedcomprising operationspayment ofrail to ports at Mitsubishi, of the third are adjacent","transported by Corporation valid indefinitelyStart of Escondida Norteconsortium(subjecttomineral depositsprivately ownedcomprising operationspayment ofrail to ports at Mitsubishi, of the third are adjacent","transported by Corporation valid indefinitelyStart of Escondida Norteconsortium(subjecttomineral depositsprivately ownedcomprising operationspayment ofrail to ports at Mitsubishi, of the third are adjacent","transported by Corporation valid indefinitelyStart of Escondida Norteconsortium(subjecttomineral depositsprivately ownedcomprising operationspayment ofrail to ports at Mitsubishi, of the third are adjacent","transported by Corporation valid indefinitelyStart of Escondida Norteconsortium(subjecttomineral depositsprivately ownedcomprising operationspayment ofrail to ports at Mitsubishi, of the third are adjacent",power grid,power grid,power grid,plants produce,,,,,,
,,,,,"transported by Corporation valid indefinitelyStart of Escondida Norteconsortium(subjecttomineral depositsprivately ownedcomprising operationspayment ofrail to ports at Mitsubishi, of the third are adjacent","transported by Corporation valid indefinitelyStart of Escondida Norteconsortium(subjecttomineral depositsprivately ownedcomprising operationspayment ofrail to ports at Mitsubishi, of the third are adjacent","transported by Corporation valid indefinitelyStart of Escondida Norteconsortium(subjecttomineral depositsprivately ownedcomprising operationspayment ofrail to ports at Mitsubishi, of the third are adjacent","transported by Corporation valid indefinitelyStart of Escondida Norteconsortium(subjecttomineral depositsprivately ownedcomprising operationspayment ofrail to ports at Mitsubishi, of the third are adjacent","transported by Corporation valid indefinitelyStart of Escondida Norteconsortium(subjecttomineral depositsprivately ownedcomprising operationspayment ofrail to ports at Mitsubishi, of the third are adjacent","transported by Corporation valid indefinitelyStart of Escondida Norteconsortium(subjecttomineral depositsprivately ownedcomprising operationspayment ofrail to ports at Mitsubishi, of the third are adjacent","transported by Corporation valid indefinitelyStart of Escondida Norteconsortium(subjecttomineral depositsprivately ownedcomprising operationspayment ofrail to ports at Mitsubishi, of the third are adjacent","transported by Corporation valid indefinitelyStart of Escondida Norteconsortium(subjecttomineral depositsprivately ownedcomprising operationspayment ofrail to ports at Mitsubishi, of the third are adjacent","transported by Corporation valid indefinitelyStart of Escondida Norteconsortium(subjecttomineral depositsprivately ownedcomprising operationspayment ofrail to ports at Mitsubishi, of the third are adjacent","transported by Corporation valid indefinitelyStart of Escondida Norteconsortium(subjecttomineral depositsprivately ownedcomprising operationspayment ofrail to ports at Mitsubishi, of the third are adjacent",Electricity,Electricity,Electricity,copper,,,,,,
Antofagasta and annual fees) concentrator but distinct JX Nippon Mining,Antofagasta and annual fees) concentrator but distinct JX Nippon Mining,Antofagasta and annual fees) concentrator but distinct JX Nippon Mining,Antofagasta and annual fees) concentrator but distinct JX Nippon Mining,Antofagasta and annual fees) concentrator but distinct JX Nippon Mining,Antofagasta and annual fees) concentrator but distinct JX Nippon Mining,Antofagasta and annual fees) concentrator but distinct JX Nippon Mining,Antofagasta and annual fees) concentrator but distinct JX Nippon Mining,Antofagasta and annual fees) concentrator but distinct JX Nippon Mining,Antofagasta and annual fees) concentrator but distinct JX Nippon Mining,Antofagasta and annual fees) concentrator but distinct JX Nippon Mining,sourced from,sourced from,sourced from,concentrate,,,,,,,,,,
