Measure:,,Profit after taxation from Continuing operations US$M,"13,451",Net operating cash flows from Continuing operations US$M,"27,234"
Made up of:,,Profit after taxation,,,
Adjusted for:,Exceptional items before taxation,"4,470",Tax effect of exceptional items,Exceptional items after tax attributable to non-controlling interests,(24)
Adjusted for:,Depreciation and amortisation excluding exceptional items,"6,824",,,
Adjusted for:,Net finance costs excluding exceptional items,"1,220",Income tax benefit on net finance costs,,(337)
Adjusted for:,Profit after taxation excluding net finance costs and exceptional items,"20,131",,,
Adjusted for:,Net Assets at the beginning of period,"52,175",Net Debt at the beginning of period,"12,044",Capital employed at the beginning of period
Adjusted for:,"Impairments of property, plant and equipment, financial assets and intangibles excluding exceptional items",264,,,
Adjusted for:,Exceptional items attributable to BHP shareholders,"5,773",,,
Adjusted for:,Capital employed at the end of period,"64,219",Net Assets at the end of period,"55,605",Net Debt at the end of period
Adjusted for:,Average capital employed,,,,"61,973"
To reach our KPIs,Underlying attributable profit,"17,077",Underlying EBITDA,"37,379",Net operating cash flows
To reach our KPIs,,,,,"27,234 Underlying Return on Capital Employed 32.5%"
Why do we use it?,Underlying attributable profit allows the comparability of underlying financial performance by excluding the impacts of exceptional items and is also the basis on which our dividend payout ratio policy is applied.,,Underlying EBITDA is used to help assess current operational profitability excluding the impacts of sunk costs (i.e. depreciation from initial investment). It is a measure that management uses internally to assess the performance of the Group’s segments and make decisions on the allocation of resources.,,Net operating cash flows provide insights into how we are managing costs and increasing productivity across BHP. Underlying Return on Capital Employed is an indicator of the Group’s capital efficiency. It is provided on an underlying basis to allow comparability of underlying financial performance by excluding the impacts of exceptional items.
