Status Bar Icons,Explanation
Cell Signal,"The more number of bars shown, the better cell signal reception your phone has."
No Signal,Cannot connect to telco service provider. Only emergency numbers are available.
Flight Mode,"Airplane mode is on—you can't make phone calls, and other wireless functions may be disabled."
Cellular Data Network Connected,Your Mi phone has been connected to cellular data network.
4G Network,4G/ LTE network connected.
H+ Network,HSPA+ network connected.
EDGE Network,EDGE network connected.
GPRS Network,GPRS network connected.
Wi-Fi Connection,"Your phone has been connected to Wi-Fi nearby. The more number of bars shown, the better Wi-Fi signal reception your phone has."
Silent Mode,Your phone has been set to silent mode.
Vibration Mode,Your phone has been set to vibration mode.
GPS Service,GPS and location service has been activated.
Do Not Disturb Mode,"""Do Not Disturb"" is turned on."
Bluetooth,Bluetooth function has been enabled.
Bluetooth Connection,Bluetooth is on and paired with one or multiple devices.
