Status Bar Icons,ExpInation
三 Cell Signal,"The more number of bars shown, the better cell signal reception your phone has."
三 No Signal,Cannot connect to telco service provider. Only emergency numbers are available.
士 Flight Mode,"Airplane mode is on一you can't make phone calls, and other wireless functions may be disabled."
Cellular Data 北 Network Connected,Your Mi phone has been connected to cellular data network.
4G 4G Network,4G/ LTE network connected.
H+ HSPA+ Network,HSPA+ network connected.
E EDGE Network,EDGE network connected.
G GPRS Network,GPRS network connected.
Wi-Fi Connection,"Your phone has been connected to Wi-Fi nearby. The more number of bars shown, the better Wi-Fi signal reception your phone has."
A Silent Mode,Your phone has been set to silent mode.
心 Vibration Mode,Your phone has been set to vibration mode.
@ GPS Service,GPS and location service has been activated.
Do Not Disturb D Mode,An alarm is set
Do Not Disturb ? Mode,"“Do Not Disturb"" is turned on."
为 Bluetooth,Bluetooth function has been enabled.
Bluetooth 米 Connection,Bluetooth is on and paired with one or multiple devices.
Status Bar Icons,Explnation
Mode,Network Tethering Network tethering mode is on and you can share your cellular data network with other devices.
□ Earpiece,An earpiece has been plugged into your phone.
四 Speakerphone Mode,Use the speakerphone to listen a phone call.
凸 OTG device connected,New device has been connected via OTG
Data O Synchronisation,Synchronising your data.
Synchronisation Failure,Your phone cannot synchronise data for some reason.
,More Notifications There are multiple notifications in your notification bar.
