Line 1,Line 1
North Railway Station,"Not to be confused with Chengdu North Railway Station, which is a freight train yard"
Wenshu Monastery,Access to the monastery and its surrounding markets
Tianfu Square,"Chengdu's geographical centre, close to the Sichuan Museum and shopping on Renmin South Road, and interchange with Line 2"
Jinjiang Hotel,
South Railway Station Financial City,One of the stops that will land you in the heart of the Gaoxin area
Century City,"The station for the world's biggest building,New Century Global Centre"
Line 2 People's Park,"A public park with a lake for boating, teahouses and traditional ear cleaning"
Tianfu Square,
Chunxi Road,"The primary retail district, exit for Taikoo Li also"
East Railway Station,The terminal for the Chengdu-Chongqing high-speed train
Line 3,
Chunxi Road,
Chengdu Zoo,
Xiongmao Avenue,"A complete translation would be Panda Avenue,and this is the stop for the panda breeding centre"
Line 4 Kuanzhai Alley,
,"The historic (but retouched) pedestrian area, for snacksand trinkets"
West Railway Station,
