Human Evaluation,de-en DARR,fi-en,gu-en,kk-en,lt-en,ru-en,zh-en
n,"85,365","DARR 38,307","DARR 31,139","DARR 27,094","DARR 21,862","DARR 46,172","DARR 31,070"
BEER,0.128,0.283,0.260,0.421,0.315,0.189,0.371
BERTR,0.142,0.331,0.291,0.421,0.353,0.195,0.399
CHARACTER,0.101,0.253,0.190,0.340,0.254,0.155,0.337
CHRF,0.122,0.286,0.256,0.389,0.301,0.180,0.371
CHRF+,0.125,0.289,0.257,0.394,0.303,0.182,0.374
EED,0.120,0.281,0.264,0.392,0.298,0.176,0.376
ESIM,0.167,0.337,0.303,0.435,0.359,0.201,0.396
HLEPORA_BASELINE,,,,0.372,,,0.339
METEOR++_2.0(SYNTAX),0.084,0.274,0.237,0.395,0.291,0.156,0.370
METEOR++_2.0(SYNTAX+COPY),0.094,0.273,0.244,0.402,0.287,0.163,0.367
PREP,0.030,0.197,0.192,0.386,0.193,0.124,0.267
SENTBLEU,0.056,0.233,0.188,0.377,0.262,0.125,0.323
WMDO,0.096,0.281,0.260,0.420,0.300,0.162,0.362
YIS1-0,0.117,0.271,0.263,0.402,0.289,0.178,0.355
YIS1-1,0.164,0.347,0.312,0.440,0.376,0.217,0.426
YISI-1_SRL,0.199,0.346,0.306,0.442,0.380,0.222,0.431
QE as a Metric:,,,,,,,
IBM1-MORPHEME,-0.074,0.009,,,0.069,,
IBM1-POS4GRAM,-0.153,,,,,,
LASIM,-0.024,,,,,0.022,
LP,-0.096,,,,,-0.035,
UNI,0.022,0.202,,,,0.084,
UNI+,0.015,0.211,,,,0.089,
Y1S1-2 YIS1-2_SRL,0.068,0.126,-0.001,0.096,0.075,0.053,0.253
,0.068,一,,,,,0.246
newstest2019,newstest2019,newstest2019,newstest2019,newstest2019,newstest2019,newstest2019,newstest2019
