Human Evaluation,n,de-en,fi-en,gu-en,kk-en,lt-en,ru-en,zh-en
Human Evaluation,DARR,85365,38307,31139,27094,21862,46172,31070
BEER,0.128,0.283,0.260,0.421,0.315,0.189,0.371,
BERTR,0.142,0.331,0.291,0.421,0.353,0.195,0.399,
CHARACTER,0.101,0.253,0.190,0.340,0.254,0.155,0.337,
CHR2F,0.122,0.286,0.256,0.389,0.301,0.180,0.371,
CHR2F+,0.125,0.289,0.257,0.394,0.303,0.182,0.374,
EED,0.120,0.281,0.264,0.392,0.298,0.176,0.376,
ESIM,0.167,0.337,0.303,0.435,0.359,0.201,0.396,
hLEPORA_BASELINE,--,--,--,0.372,--,0.339,,
METEOR++_2.0(SYNTAX),0.084,0.274,0.237,0.395,0.291,0.156,0.370,
METEOR++_2.0(SYNTAX+COPY),0.094,0.273,0.244,0.402,0.287,0.163,0.367,
PReP,0.030,0.197,0.192,0.386,0.193,0.124,0.267,
SENTBLEU,0.056,0.233,0.188,0.377,0.262,0.125,0.323,
WMDO,0.096,0.281,0.260,0.420,0.300,0.162,0.362,
YiSi-0,0.117,0.271,0.263,0.402,0.289,0.178,0.355,
YiSi-1,0.164,0.347,0.312,0.440,0.376,0.217,0.426,
YiSi-1_SRL,0.199,0.346,0.306,0.442,0.380,0.222,0.431,
QE as a Metric:,IBM1-MORPHEME,-0.074,0.009,--,--,0.069,--,
QE as a Metric:,IBM1-POS4GRAM,-0.153,--,--,--,--,--,
QE as a Metric:,LASIM,-0.024,--,--,--,0.022,--,
QE as a Metric:,LP,-0.096,--,--,--,--,-0.035,
QE as a Metric:,UNI,0.022,0.202,--,--,--,0.084,--
QE as a Metric:,UNI+,0.015,0.211,--,--,--,0.089,--
QE as a Metric:,YiSi-2,0.068,0.126,-0.001,0.096,0.075,0.053,0.253
QE as a Metric:,YiSi-2_SRL,0.068,--,--,--,--,0.246,
