,de-en,fi-en,gu-en,kk-en,lt-en,ru-en,zh-en
n Correlation,16,12,11,11,11,14,15
,|r,r,|r,r,|r,r,|r
BEER,0.906,0.993,0.952,0.986,0.947,0.915,0.942
BERTR,0.926,0.984,0.938,0.990,0.948,0.971,0.974
BLEU,0.849,0.982,0.834,0.946,0.961,0.879,0.899
CDER,0.890,0.988,0.876,0.967,0.975,0.892,0.917
CHARACTER,0.898,0.990,0.922,0.953,0.955,0.923,0.943
CHRF,0.917,0.992,0.955,0.978,0.940,0.945,0.956
CHRF+,0.916,0.992,0.947,0.976,0.940,0.945,0.956
EED,0.903,0.994,0.976,0.980,0.929,0.950,0.949
ESIM,0.941,0.971,0.885,0.986,0.989,0.968,0.988
HLEPORA_ _BASELINE,1,1,1,0.975,一,1,0.947
HLEPORB_BASELINE,一,,,0.975,0.906,一,0.947
METEOR++_2.0(SYNTAX),0.887,0.995,0.909,0.974,0.928,0.950,0.948
METEOR++_2.0(SYNTAX+COPY),0.896,0.995,0.900,0.971,0.927,0.952,0.952
NIST,0.813,0.986,0.930,0.942,0.944,0.925,0.921
PER,0.883,0.991,0.910,0.737,0.947,0.922,0.952
PREP,0.575,0.614,0.773,0.776,0.494,0.782,0.592
SACREBLEU.BLEU,0.813,0.985,0.834,0.946,0.955,0.873,0.903
SACREBLEU.CHRF,0.910,0.990,0.952,0.969,0.935,0.919,0.955
TER,0.874,0.984,0.890,0.799,0.960,0.917,0.840
WER,0.863,0.983,0.861,0.793,0.961,0.911,0.820
WMDO,0.872,0.987,0.983,0.998,0.900,0.942,0.943
YIS1-0,0.902,0.993,0.993,0.991,0.927,0.958,0.937
YIS1-1,0.949,0.989,0.924,0.994,0.981,0.979,0.979
YISI-1 _SRL,0.950,0.989,0.918,0.994,0.983,0.978,0.977
QE as a Metric:,,,,,,,
IBM1-MORPHEME,0.345,0.740,,,0.487,,
IBM1-POS4GRAM,0.339,,,,,,
LASIM,0.247,,,,,0.310,
LP,0.474,,,,,0.488,
UNI,0.846,0.930,,,,0.805,
UNI+,0.850,0.924,,,,0.808,
YIS1-2,0.796,0.642,0.566,0.324,0.442,0.339,0.940
YISI-2_SRL,0.804,newstest2019,,,,一,0.947
