n,11,22,12,11,11,12,12,12
Correlation,|r|,|r|,|r|,|r|,|r|,|r|,|r|,|r|
BEER,0.990,0.983,0.989,0.829,0.971,0.982,0.977,0.803
BLEU,0.897,0.921,0.969,0.737,0.852,0.989,0.986,0.901
CDER,0.985,0.973,0.978,0.840,0.927,0.985,0.993,0.905
CHARACTER,0.994,0.986,0.968,0.910,0.936,0.954,0.985,0.862
chrF,0.990,0.979,0.986,0.841,0.972,0.981,0.943,0.880
chrF+,0.991,0.981,0.986,0.848,0.974,0.982,0.950,0.879
EED,0.993,0.985,0.987,0.897,0.979,0.975,0.967,0.856
ESIM,-,0.991,0.957,-,0.980,0.989,0.989,0.931
hLEPORA__BASELINE,-,-,-,0.841,0.968,-,-,-
hLEPORB__BASELINE,-,-,-,0.841,0.968,0.980,-,-
NIST,0.896,0.321,0.971,0.786,0.930,0.993,0.988,0.884
PER,0.976,0.970,0.982,0.839,0.921,0.985,0.981,0.895
sacreBLEU.BLEU,0.994,0.969,0.966,0.736,0.852,0.986,0.977,0.801
sacreBLEU.chrF,0.983,0.976,0.980,0.841,0.967,0.966,0.985,0.796
TER,0.980,0.969,0.981,0.865,0.940,0.994,0.995,0.856
WER,0.982,0.966,0.980,0.861,0.939,0.991,0.994,0.875
YiSi-0,0.992,0.985,0.987,0.863,0.974,0.974,0.953,0.861
YiSi-1,0.962,0.991,0.971,0.909,0.985,0.963,0.992,0.951
YiSi-1_SRL,-,0.991,-,-,-,-,-,0.948
QE as a Metric:,,,,,,,,
IBM1-MORPHEME,0.871,0.870,0.084,-,-,0.810,-,-
IBM1-POS4GRAM,-,0.393,-,-,-,-,-,-
LASIM,-,0.871,-,-,-,-,0.823,-
LP,-,0.569,-,-,-,-,0.661,-
UNI,0.028,0.841,0.907,-,-,-,0.919,-
UNI+,-,-,-,-,-,-,0.918,-
USFD,-,0.224,-,-,-,-,0.857,-
USFD-TL,-,0.091,-,-,-,-,0.771,-
YiSi-2,0.324,0.924,0.696,0.314,0.339,0.055,0.766,0.097
YiSi-2_SRL,-,0.936,-,-,-,-,-,0.118
