,de-cs,de-fr,fr-de
n,11,11,10
Correlation,r,|r,r
BEER,0.978,0.941,0.848
BLEU,0.941,0.891,0.864
CDER,0.864,0.949,0.852
CHARACTER,0.965,0.928,0.849
CHRF,0.974,0.931,0.864
CHRF+,0.972,0.936,0.848
EED,0.982,0.940,0.851
ESIM,0.980,0.950,0.942
HLEPORA BASELINE,0.941,0.814,一
HLEPORB BASELINE,0.959,0.814,
NIST,0.954,0.916,0.862
PER,0.875,0.857,0.899
SACREBLEU-BLEU,0.869,0.891,0.869
SACREBLEU-CHRF,0.975,0.952,0.882
TER,0.890,0.956,0.895
WER,0.872,0.956,0.894
Y1S1-0,0.978,0.952,0.820
YIS1-1,0.973,0.969,0.908
YIS1-1 _SRL,,,0.912
QE asa Metric:,,,
IBM1-MORPHEME,0.355,0.509,0.625
IBM1-POS4GRAM,1,0.085,0.478
YIS1-2,0.606,0.721,0.530
newstest2019,newstest2019,,
