To learn about,Do this
Troubleshooting your MacBook Airif you have a problem,"See Chapter 3,""Problem, Meet Solution,""on page 39."
for your MacBook Air,"Finding service and supportSee “Learning More,Service,and Support""on page 53.Or go to the Apple Support website at www.apple.com/support/macbookair."
Using Mac OS X,"Go to the Mac OS X website at www.apple.com/macosx. Or search for""Mac OS X""in Mac Help."
Moving from a PC to a Mac,"See""HowTo Move To Mac""at www.apple.com/getamac/ movetomac."
Using iLife 'O8 applications,"Go to the iLife'08 website at www.apple.com/ilife. Or open an iLife '08 application,open Help for the application,and then type a question in the search field."
Changing System Preferences,"Open System Preferences by choosing Apple () > System Preferences. Or search for""system preferences""in Mac Help."
Using your trackpad,"Experiment with gestures within a particular application to see what functionality is supported.Search for""trackpad""in Mac Help. Or open System Preferences,click Keyboard & Mouse,and then click Trackpad."
Using the iSight camera,"Search for""iSight""in Mac Help."
Using AirPort Extreme wireless technology,"Go to the AirPort Support page at www.apple.com/support/airport. Or open Mac Help and search for""AirPort."""
Using Bluetooth wireless technology,"Go to the Bluetooth Support page at www.apple.com/support/ bluetooth. Or open the Bluetooth File Exchange application, located in the Utilities folder within the Applications folder,and choose Help > Bluetooth Help."
Connecting a printer,"Search for""printing""in Mac Help."
USB connections,"Search for""USB""in Mac Help."
Connecting to the Internet,"Search for""Internet""in Mac Help."
Connecting an external display,"Search for""display port""in Mac Help."
Apple Remote (sold separately at www.apple.com/store),"Search for""remote""in Mac Help."
Front Row,"Search for""Front Row""in Mac Help."
Specifications,"Go to the Specifications page at www.apple.com/support/specs. Or open System Profiler by choosing Apple ()>About This Mac from the menu bar,and then click More Info."
"Apple news, free downloads,and online catalogs of software and hardware",Go to the Apple website at www.apple.com.
"Instructions, technical support,and manuals for Apple products",Go to the Apple Support website at www.apple.com/support.
