Principal risk | Description | Potential impact | Key mitigations
--- | --- | --- | ---
Product quality and safety | Major event triggered by a serious food safety or other compliance issue | Negative effect on Nestlé’s reputation and/or brands | Policies, processes and controls to ensure high-quality products and prevention of health risks
Consumer preferences | Failure to adequately anticipate evolving consumer preferences, failure to innovate relevant, competitive products and brands, and failure to execute at speed | Negative effect on Nestlé’s reputation and/or brands | Strengthen consumer-centricity of innovation process
Discriminatory regulation | Prolonged negative perceptions concerning health implications of processed food and beverage categories | Increase in regulation on industry and/or specific categories | Focus scientific and nutritional know-how to enhance nutrition, health and wellness
Customer and channel management | Customer concentration, channel dynamics accelerating pressure on distribution, pricing and trade | Reduced distribution of our products to consumers | Strategic customer relationship management
Human rights | Failure to identify and/or prevent human rights violations in direct operations and supply chain, e.g. forced labour, child labour, working hours, fair wages, etc. | Negative effect on Nestlé’s reputation and/or brands | Human rights due diligence
Climate change | Climate-related physical (including extreme weather events, water shortages) and transitional disruption (including policy actions, technological advances, market sentiment) affecting our operations and/or consumer demand | Supply constraints impact ensuring supply as well as reputational damage | Promote regenerative agricultural practices and support local rural development
Product and plastic packaging | Failure to comply with current or future regulation on plastic packaging and/or failure to meet commitments on packaging and the environment | Specific packaging (e.g. Single Use Plastic) and/or elements (e.g. straws) taxed, banned and/or delisted | Waste-free future: recyclable or reusable packaging; pioneer new packaging materials; collaborations to drive recycling penetration; educate via brand communications
Environmental health | Failure to comply with legislation or meet expectations concerning the environment including biodiversity impacts, use of natural resources, air emissions and waste discharges, etc. | Negative effect on Nestlé’s reputation and/or brands | Caring for Water plan to implement water stewardship initiatives
| | Corporate fines and/or taxation on products/categories | Member of One Planet Business for Biodiversity (OP2B) to scale up efforts to protect and restore biodiversity
| | License to operate challenges, e.g. access to water | Commitments to improve operational efficiencies, e.g. switch to renewable energy sources, reduction in air emissions, etc.
