```csv
Americas (AMS),Argentina,Bolivia,Brazil,Canada,Chile,Colombia,Cuba,Dominican Republic,Ecuador,Guatemala,Mexico,Nicaragua,Panama,Peru,Trinidad and Tobago,United States,Uruguay,Venezuela
Argentina,6,"","","","","","","","","","","","","","","","",""
Bolivia,1,"","","","","","","","","","","","","","","","",""
Brazil,12,"","","","","","","","","","","","","","","","",""
Canada,6,"","","","","","","","","","","","","","","","",""
Chile,9,"","","","","","","","","","","","","","","","",""
Colombia,5,"","","","","","","","","","","","","","","","",""
Cuba,3,"","","","","","","","","","","","","","","","",""
Dominican Republic,2,"","","","","","","","","","","","","","","","",""
Ecuador,4,"","","","","","","","","","","","","","","","",""
Guatemala,2,"","","","","","","","","","","","","","","","",""
Mexico,13,"","","","","","","","","","","","","","","","",""
Nicaragua,1,"","","","","","","","","","","","","","","","",""
Panama,2,"","","","","","","","","","","","","","","","",""
Peru,1,"","","","","","","","","","","","","","","","",""
Trinidad and Tobago,1,"","","","","","","","","","","","","","","","",""
United States,72,"","","","","","","","","","","","","","","","",""
Uruguay,1,"","","","","","","","","","","","","","","","",""
Venezuela,5,"","","","","","","","","","","","","","","","",""
```
