Description of Key Audit Matters

| Key audit matters | How our audit addressed the key audit matter |
| --- | --- |
| Revenue recognition – Fixed price contracts | The Group inter alia engages in Fixed-price contracts, wherein, revenue is recognized using the percentage of completion computed as per the input method based on the Group's estimate of contract costs (Refer Note 5(a) and Note 12 to the consolidated financial statements). |
| We identified revenue recognition of fixed price contracts as a Key Audit Matter since – | Our audit procedures on revenue recognized from fixed price contracts included: |
|  | • Obtained an understanding of the systems, processes and controls implemented by the Group for recording and computing revenue and the associated contract assets, unearned and deferred revenue balances. |
|  | • Involved our Information technology ('IT') specialists: |
|  | ➢ Assessed the IT environment in which the business systems operate and tested system controls over computation of revenue recognised; |
|  | ➢ Tested the IT controls over appropriateness of cost and revenue reports generated by the system; and |
|  | ➢ Tested the controls pertaining to allocation of resources and budgeting systems which prevent the unauthorized recording/changes to costs incurred and controls relating to the estimation of contract costs required to complete the respective projects. |
|  | at year-end, significant amount of work in progress (Contract assets), related to these contracts are recognised on the balance sheet. |
|  | • On selected specific/ statistical samples of contracts, we tested that the revenue recognized is in accordance with the revenue recognition accounting standard – |
|  | ➢ Evaluated the identification of performance obligations and the ascribed transaction price; |
|  | ➢ Tested the Group's computation of the estimation of contract costs and onerous obligations, if any. We: |
|  | ➢ assessed that the estimates of costs to complete were reviewed and approved by appropriate designated management personnel; |
|  | ➢ performed a retrospective analysis of costs incurred with estimated costs to identify significant variations and challenged whether those variations are required to be considered in estimating the remaining costs to complete the contract; |
|  | ➢ assessed the appropriateness of work in progress (contract assets) on balance sheet date by evaluating the underlying documentation to identify possible changes in estimated costs to complete the remaining performance obligations; and |
|  | ➢ inspected underlying documents and performed analytics to determine reasonableness of contract costs. |
