As at March 31, 2020
Deferred tax assets / (liabilities) in relation to
Assets	Liabilities	Net
Property, plant and equipment and Intangible assets	225	63	162
Provision for employee benefits	468	-	468
Cash flow hedges	7	-	7
Receivables, financial assets at amortised cost	327	-	327
MAT credit entitlement	1,049	-	1,049
Branch profit tax	-	284	(284)
Unrealised gain on securities carried at fair value through profit or loss / other comprehensive income	(483)	-	(483)
Lease liabilities	308	-	308
Others	318	-	318
Total deferred tax assets / (liabilities)	2,219	347	1,872
