Oct-10,Nov-10,% Change,Target (+/-),Unique Visits,Site Visits,New vs Returning Visitors,Engaged Visitors,Home Page Engagement Rate,Page Views,Page Views per Visit,Site Engagement Rate,End Action Engagement Rate,End Actions,Time on Site / Visit Duration,SEO Health
Oct-10,Nov-10,% Change,Target (+/-),Unique Visits,Site Visits,New vs Returning Visitors,Engaged Visitors,Home Page Engagement Rate,Page Views,Page Views per Visit,Site Engagement Rate,End Action Engagement Rate,End Actions,Time on Site / Visit Duration,SEO Health
120456,135908,12.8%,97%,Unique Visits,Site Visits,New vs Returning Visitors,Engaged Visitors,Home Page Engagement Rate,Page Views,Page Views per Visit,Site Engagement Rate,End Action Engagement Rate,End Actions,Time on Site / Visit Duration,SEO Health
134709,144235,7.1%,81%,Unique Visits,Site Visits,New vs Returning Visitors,Engaged Visitors,Home Page Engagement Rate,Page Views,Page Views per Visit,Site Engagement Rate,End Action Engagement Rate,End Actions,Time on Site / Visit Duration,SEO Health
16.76%,14.53%,-13.3%,73%,Unique Visits,Site Visits,New vs Returning Visitors,Engaged Visitors,Home Page Engagement Rate,Page Views,Page Views per Visit,Site Engagement Rate,End Action Engagement Rate,End Actions,Time on Site / Visit Duration,SEO Health
74284,111586,50.2%,53%,Unique Visits,Site Visits,New vs Returning Visitors,Engaged Visitors,Home Page Engagement Rate,Page Views,Page Views per Visit,Site Engagement Rate,End Action Engagement Rate,End Actions,Time on Site / Visit Duration,SEO Health
42.80%,43.50%,1.6%,97%,Unique Visits,Site Visits,New vs Returning Visitors,Engaged Visitors,Home Page Engagement Rate,Page Views,Page Views per Visit,Site Engagement Rate,End Action Engagement Rate,End Actions,Time on Site / Visit Duration,SEO Health
345000,365000,5.8%,96%,Unique Visits,Site Visits,New vs Returning Visitors,Engaged Visitors,Home Page Engagement Rate,Page Views,Page Views per Visit,Site Engagement Rate,End Action Engagement Rate,End Actions,Time on Site / Visit Duration,SEO Health
2.50,2.80,12.0%,93%,Unique Visits,Site Visits,New vs Returning Visitors,Engaged Visitors,Home Page Engagement Rate,Page Views,Page Views per Visit,Site Engagement Rate,End Action Engagement Rate,End Actions,Time on Site / Visit Duration,SEO Health
12.80%,13.50%,5.5%,96%,Unique Visits,Site Visits,New vs Returning Visitors,Engaged Visitors,Home Page Engagement Rate,Page Views,Page Views per Visit,Site Engagement Rate,End Action Engagement Rate,End Actions,Time on Site / Visit Duration,SEO Health
3.06%,1.97%,-35.6%,57%,Unique Visits,Site Visits,New vs Returning Visitors,Engaged Visitors,Home Page Engagement Rate,Page Views,Page Views per Visit,Site Engagement Rate,End Action Engagement Rate,End Actions,Time on Site / Visit Duration,SEO Health
245,175,-28.6%,15%,Unique Visits,Site Visits,New vs Returning Visitors,Engaged Visitors,Home Page Engagement Rate,Page Views,Page Views per Visit,Site Engagement Rate,End Action Engagement Rate,End Actions,Time on Site / Visit Duration,SEO Health
2.80,3.15,12.5%,102%,Unique Visits,Site Visits,New vs Returning Visitors,Engaged Visitors,Home Page Engagement Rate,Page Views,Page Views per Visit,Site Engagement Rate,End Action Engagement Rate,End Actions,Time on Site / Visit Duration,SEO Health
53,58,9.4%,64%,Unique Visits,Site Visits,New vs Returning Visitors,Engaged Visitors,Home Page Engagement Rate,Page Views,Page Views per Visit,Site Engagement Rate,End Action Engagement Rate,End Actions,Time on Site / Visit Duration,SEO Health
