KPI | Measured by | Definition
--- | --- | ---
Reach of Site | Unique Visitors | Number of unique individuals who visited your site during the report period.
| Page Views | Total pages viewed during the report period.
Discoverability | Total SEO Health Audit Score | This is the key Search Engine Optimisation (SEO) score to determine the overall discoverability and health of IBM.com online
Awareness and | Total $ Online Media | Total amount of online media invested in the period.
Effectiveness of Paid, | Delivered Ad Impressions | Number of successful targeted contacts or exposures for a marketing campaign.
Earned, Owned Media | Initial Responses | Number of times a pre-defined initial or first action is performed by customers.
| Cost Per Initial Response | The actual cost of generating each Initial Response.
| End Action Conversion Rate | Number of end actions as a % of Initial Responses performed by customers who complete the desired advertising final action.
| Cost per End Action | Total cost of generating each End Action.
Total Leads Collected | Marketing Prospects (SIPS) | Standard Individual Profile. A customer profiling standard that defines baseline attributes required for contacting individuals for the organizations and determining the roles they play with their organizations.
Email Subscribers | Subscribers | Total number of subscribers
| New Subscribers | Net number of new subscribers less un-subscribes
| Opt Out Rate | The % of opt out during the period
| Open Rate | The number of emails opened as a % of total emails sent
| Initial Response Rate | Number of times a click on a link within an email is performed as a % of the total emails opened
Engagement | Engagement Rate | Effective rate of engagement between the visitor and content on landing pages and other primary pages
| Success Events | Success Event is a pre-defined action performed by customers that indicates engagement with specific content on the page. Can help determine ROI as not all customers will complete an End Action on a first or single visit.
| End Actions | End Action is a pre-defined action performed by customers that completes the desired marketing campaign final action, response mechanism, or call to action. This is typically the marketing end point. Some does not involve PII for instance, viewing a video.
Customer Satisfaction | VSAT | VSAT: % of respondents giving a very satisfied rating in response to a customer satisfaction survey. On a 4-point scale, 4 would be a "very satisfied" score.
| DSAT | DSAT: % of respondents giving a dissatisfied rating in response to a customer satisfaction survey . On a 4-point scale, 1 and 2 would be a "dissatisfied" score.
| NSAT | NSAT: A calculated net satisfaction score. NSAT = VSAT – DSAT + 100.
| Content Favourability | Growing industry trend to rate both our customer's satisfaction with specific content and more importantly, their intent to share the copy with their peers (a measure of advocacy).
