,Pension Benefits,Pension Benefits,Pension Benefits,Pension Benefits,Pension Benefits,Pension Benefits,Pension Benefits,Pension Benefits,Pension Benefits
,,2021,2021,2020,,2019,,Other Benefits,
,U.S.,Int'1.,U.S.,Int'1.,U.S.,Int1.,2021,2020,2019
Assumptions used to determine benefit obligations:,,,,,,,,,
Discount rate,2.8 %,2.8 %,2.4%,2.4%,3.1 %,3.2 %,2.9 %,2.6%,3.2 %
Rate of compensation increase,4.5 %,4.1 %,4.5%,4.0%,4.5%,4.0%,N/A,N/A,N/A
Assumptions used to determine net periodic benefit cost:,,,,,,,,,
Discount rate for service cost,3.0 %,2.4 %,3.3%,3.2 %,4.4 %,4.4 %,3.0%,3.5 %,4.6 %
Discount rate for interest cost,1.9 %,2.4 %,2.6%,3.2 %,3.7 %,4.4 %,2.1 %,3.0%,4.2 %
Expected return on plan assets,6.5 %,3.5 %,6.5%,4.5%,6.8%,5.6%,N/A,N/A,N/A
Rate of compensation increase,4.5 %,4.0 %,4.5 %,4.0%,4.5 %,4.0 %,N/A,N/A,N/A
