,Consolidated Companies,Consolidated Companies,Consolidated Companies,Consolidated Companies,Consolidated Companies,Consolidated Companies,Consolidated Companies,Affiliated Companies,Affiliated Companies,Total Consolidated
,Other,Other,Other,Other,Other,Other,,,and Affiliated,Total Consolidated
,Millions of dollars,U.S. Americas,Africa,,Asia,Australia,Europe,Total,Other,
"At December 31,2021",,,,,,,,TCO,,Companies
"Future cash inflows from production $174,976 $ 48,328",,,"$41,698 $52,881",,$,"87,676 $ 4,366","$409,925","$ 80,297","$ 8,446 $","498,668"
Future production costs,"(40,009)","(16,204)","(15,204)","(13,871)","(13,726)","(1,400)","(100,414)","(23,354)",(285),"(124,053)"
Future development costs,"(16,709)","(2,707)","(2,245)","(2,774)","(5,283)",(661),"(30,379)","(5,066)",(18),"(35,463)"
Future income taxes,"(24,182)","(7,723)","(17,228)","(21,064)","(20,600)",(922),"(91,719)","(15,563)","(2,850)","(110,132)"
Undiscounted future net cash flows,"94,076","21,694","7,021","15,172","48,067","1,383","187,413","36,314","5,293","229,020"
10 percent midyear annual discount for timing of estimated cash flows,"(41,357)","(11,370)","(1,899)","(7,277)","(21,141)",(485),"(83,529)","(14,372)",,
Standardized Measure,,,,,,,,,"(2,244)","(100,145)"
"Net Cash Flows At December 31, 2020","$ 52,719 $ 10,324 $ 5,122 $ 7,895 $ 26,926 $ 898 $103.884",,,,,,,"$ 21,942 $ 3,049",$,"128,875"
"Futurecash inflows from production$74,671 $ 29,605$27,521 $49,265$ 53,241 $2,304 $236,607",,,,,,,,,,
,,,,,,,,"$ 53,309 $1,070",,"$ 290,986"
Future production costs,"(30,359)","(15,410) (",,"(15,364) (12,784)","(11,036)","(1,336)","(86,289)","(19,525)",(426),"(106,240)"
Future development costs,"(10,492)","(2,366)","(3,017)","(2,274)","(3,205)",(522),"(21,876)","(7,138)",(38),"(29,052)"
Future income taxes,"(5,874)","(3,131) 8,698","2,943","(6,197) (17,543)","(11,700)",(178),"(44,623)","(7,994)",(212),"(52,829)"
Undiscounted future net cash flows 10 percent midyear annual discount,"27,946",,,"16,664","27,300",268,"83,819","18,652",394,"102,865"
for timing of estimated cash flows,"(10,456)","(4,652)",(582),"(7,856)","(11,774)",,"(56) (35,376)","(8,803)",(149),"(44,328)"
Standardized Measure Net Cash Flows,"$ 17,490 $ 4,046 $ 2,361 $ 8,808 $ 15,526 $ 212 $ 48,443",,,,,,,"$ 9,849 $ 245",,
"At December 31, 2019",,,,,,,,,$,"58,537"
Future cash inflows from productionS,"$122,012 $ 45,701",,"$45,706 $43,386 $ 95,845 $ 4,466",,,,"$357,116","$85,179","$12,309 $",
Future production costs,"(32,349)","(18,324) (17,982) (14,646)",,,"(14,141)","(1,428)","(98,870)","(22,302)",,"454,604"
Future development costs,"(15,987)","(4,219)","(3,643)","(5,070)","(5,458)",(341),"(34,718)","(14,340)","(2,487)","(123,659)"
Future income taxes,"(15,780)","(6,491)","(17,562) (11,147)",,"(22,874)","(1,078)","(74,932)","(14,561)","(705) (3,855)","(49,763)"
Undiscounted future net cash flows,"57,896","16,667","6,519","12,523","53,372","1,619","148,596","33,976","5,262","(93,348)"
10 percent midyear annual discount,,,,,,,,,,"187,834"
for timing of estimated cash flows,"(26,422)","(9,312)","(1,629)","(3,652)",,"(26,536)","(650) (68,201)","(16,990)","(2,096)","(87,287)"
Standardized Measure Net Cash Flows,"$ 31,474 $ 7,355 $ 4,890 $ 8,871 $ 26,836 $ 969 $ 80,395$ 16,986 $ 3,166",,,,,,,,,"$ 100,547"
