Year Ended\tDecember 31, 2021\tYear Ended\tDecember 31, 2020
Sales and other operating revenues\t$88,038\t$49,636
Sales and other operating revenues - related party\t28,499\t17,044
Total costs and other deductions\t86,369\t57,575
Total costs and other deductions - related party\t28,277\t14,052
Net income (loss)\t$5,515\t$(1,610)
At December 31,\t2021\tAt December 31,\t2020
Current assets\t$15,567\t$9,196
Current assets - related party\t12,227\t5,719
Other assets\t48,461\t48,993
Current liabilities\t22,554\t20,965
Current liabilities - related party\t79,778\t55,273
Other liabilities\t32,825\t34,983
Total net equity (deficit)\t$(58,902)\t$(47,313)
