,Year ended December 31,Year ended December 31,Year ended December 31
,2021,2020,2019
Net Income (Loss),"$15,689","$ (5,561)","$ 2,845"
Currency translation adjustment,,,
Unrealized net change arising during period Unrealized holding gain (loss) on securities,(55),35,(18)
Net gain (loss) arising during period,(1),(2),2
Derivatives,,,
Net derivatives loss on hedge transactions,(6),,(1)
Reclassification to net income,,,
Income taxes on derivatives transactions,6,,
,,,3
Total Defined benefit plans,丨,,2
Actuarial gain (loss),,,
Amortization to net income of net actuarial loss and settlements,,,
Actuarial gain (loss) arising during period,"1,069","1,107",519
Prior service credits (cost),"1,244","(2,004)","(2,404)"
Amortization to net income of net prior service costs and curtailments,(14),,
Prior service (costs) credits arising during period,一,(23),4
Defined benefit plans sponsored by equity afiliates - benefit (cost),127,,(28)
,,(104),(33)
Income tax benefit (cost) on defined benefit plans,(647),369,510
Total,"1,779",(655),"(1,432)"
"Other Comprehensive Gain (Loss), Net of Tax","1,723",(622),"(1,446)"
Comprehensive Income,"17,412","(6,183)","1,399"
Comprehensive loss (income) attributable to noncontrolling interests,(64),18,79
Comprehensive Income (Loss) Attributable to Chevron Corporation,"$ 17,348","$ (6,165)","$ 1,478"
