Natural Gas in Billions of Cubic Feet,Crude Oil Condensate,Synthetic Oil,NGL,Natural Gas
2021,"1,177",471,421,"3,136"
2020,"1,157",597,346,"2,503"
2019,"1,121",540,258,"2,998"
U.S.,181,471,7,259
Other Americas,168,597,6,222
Africa,497,497,68,"1,629"
Asia,358,358,0,"7,864"
Australia,115,0,4,"8,951"
Europe,23,0,0,8
Total Consolidated,"2,182",471,508,"20,351"
TCO,555,0,52,"1,059"
Other,3,0,13,310
Total Consolidated and Affiliated Companies,"2,740",471,573,"21,720"
U.S.,887,0,391,"2,749"
Other Americas,107,0,8,196
Africa,52,0,28,912
Asia,52,0,0,466
Australia,32,0,0,"3,627"
Europe,38,0,0,13
Total Consolidated,"1,168",0,427,"7,963"
TCO,695,0,32,642
Other,1,0,6,583
Total Consolidated and Affiliated Companies,"1,864",0,465,"9,188"
Total Proved Reserves,"4,604",471,"1,038","30,908"
2021,"2,318",597,424,"21,177"
2020,"2,383",540,334,"18,954"
2019,"2,885",597,489,"22,556"
2021,"2,318",597,424,"21,177"
2020,"2,383",540,334,"18,954"
2019,"2,885",597,489,"22,556"
2021,851,0,285,"5,829"
2020,"1,226",0,288,"7,633"
2019,"1,837",0,339,"7,366"
2021,"1,837",0,339,"7,366"
2020,"1,837",0,339,"7,366"
2019,"1,837",0,339,"7,366"
