"At December 31, 2021, Operating Leases","At December 31, 2021, Finance Leases",,,"At December 31, 2020, Operating Leases","At December 31, 2020, Finance Leases",,
Deferred charges and other assets,"$3,668",,"$3,949",,"$3,949",,
"Properties, plant and equipment, net",,$429,,,,$455,
Right-of-use assets*,"$3,668",$429,"$3,949",$455,,,
Accrued Liabilities,$995,,"$1,291",,"$1,291",,
Short-term Debt,,$48,,,,$186,
Current lease liabilities,$995,$48,"$1,291",$186,,,
Deferred credits and other noncurrent obligations,"$2,508",,"$2,615",,"$2,615",,
Long-term Debt,,$449,,,,$447,
Noncurrent lease liabilities,"$2,508",$449,"$2,615",$447,,,
Total lease liabilities,"$3,503",$497,"$3,906",$633,,,
Weighted-average remaining lease term (in years),7.8,13.2,7.2,10.4,,,
Weighted-average discount rate,2.2 %,4.2 %,2.8 %,3.9 %,,,
