Year Ended,"December 31, 2021",Year Ended,"December 31, 2020"
Sales and other operating revenues,"$88,038",Sales and other operating revenues,"$49,636"
Sales and other operating revenues - related party,"28,499",Sales and other operating revenues - related party,"17,044"
Total costs and other deductions,,Total costs and other deductions,
Total costs and other deductions,"$86,369",Total costs and other deductions,"$57,575"
Total costs and other deductions - related party,"28,277",Total costs and other deductions - related party,"14,052"
Net income (loss),"$5,515",Net income (loss),"$(1,610)"
"At December 31,",2021,"At December 31,",2020
Current assets,"$15,567",Current assets,"$9,196"
Current assets - related party,"12,227",Current assets - related party,"5,719"
Other assets,"48,461",Other assets,"48,993"
Current liabilities,"22,554",Current liabilities,"20,965"
Current liabilities - related party,"79,778",Current liabilities - related party,"55,273"
Other liabilities,"32,825",Other liabilities,"34,983"
Total net equity (deficit),"$(58,902)",Total net equity (deficit),"$(47,313)"
