At December 31, 2021, Operating Leases\tAt December 31, 2021, Finance Leases\tAt December 31, 2020, Operating Leases\tAt December 31, 2020, Finance Leases
Deferred charges and other assets\t$3,668\t\t$3,949\t\t\t,,,,,,
Properties, plant and equipment, net\t\t$429\t\t\t$455\t,,,,,,
Right-of-use assets*\t$3,668\t$429\t$3,949\t$455\t,,,,,,
Accrued Liabilities\t$995\t\t$1,291\t\t\t,,,,,,,
Short-term Debt\t\t$48\t\t\t$186\t,,,,,,,,
Current lease liabilities\t$995\t$48\t$1,291\t$186\t,,,,,,,
Deferred credits and other noncurrent obligations\t$2,508\t\t$2,615\t\t\t,,,,,,
Long-term Debt\t\t$449\t\t\t$447\t,,,,,,,,
Noncurrent lease liabilities\t$2,508\t$449\t$2,615\t$447\t,,,,,,
Total lease liabilities\t$3,503\t$497\t$3,906\t$633\t,,,,,,
Weighted-average remaining lease term (in years)\t7.8\t13.2\t7.2\t10.4\t,,,,,,,,
Weighted-average discount rate\t2.2 %\t4.2 %\t2.8 %\t3.9 %\t,,,,,,,,
