,"Year Ended December 31,2021","Year Ended December 31,2020"
Sales and other operating revenues,(Millions of dollars) (unaudited) $,(Millions of dollars) (unaudited) $
Sales and other operating revenues - related party,"88,038 $ 28,499","49,636 17,044"
Total costs and other deductions,,
,"86,369","57,575"
Total costs and other deductions -related party,"28,277","14,052"
Net income (loss),"$ 5,515","(1,610)"
,"At December 31, At December 31, 2021 2020","At December 31, At December 31, 2021 2020"
Current assets,(Millions of dollars) (unaudited) $,(Millions of dollars) (unaudited) $
,"15,567 $","15,567 $"
Current assets - related party,"12,227","12,227"
Other assets,"48,461","48,461"
Current liabilities,"22,554","22,554"
Current liabilities - related party,"79,778","79,778"
Other liabilities,"32,825","32,825"
Total net equity (deficit) $,"(58,902)$","(58,902)$"
