Year ended December 31 2020 2019,Year ended December 31 2020 2019,Year ended December 31 2020 2019,Year ended December 31 2020 2019
2021,2021,2021,2021
Revenues and Other Income,"$ 155,606 $","94,471","$ 139,865"
Sales and other operating revenues,Sales and other operating revenues,Sales and other operating revenues,Sales and other operating revenues
Income (loss) from equity affiliates,"5,657 1,202",(472),"3,968 2.683"
Other income,Other income,Other income,Other income
Total Revenues and Other Income,"162,465","693 94,692","146,516"
Costs and Other Deductions,Costs and Other Deductions,Costs and Other Deductions,Costs and Other Deductions
Purchased crude oil and products,"89,372","50,488","80,113"
Operating expenses,"20,726","20,323","21,385"
"Selling, general and administrative expenses","4,014","4,213","4,143"
Exploration expenses,549,"1,537",770
"Depreciation, depletion and amortization","17,925","19,508","29,218"
Taxes other than on income,6.840,"4,499","4,136"
Interest and debt expense,712,697,798
Other components of net periodic benefit costs,"688 140,826",880,417
Total Costs and Other Deductions,Total Costs and Other Deductions,Total Costs and Other Deductions,Total Costs and Other Deductions
Income (Loss) Before Income Tax Expense,"21,639","102,145 (7,453)","140,980 5,536"
Income Tax Expense (Benefit),"5,950","(1,892)","2,691"
Net Income (Loss),"15,689","(5,561)","2,845"
Less: Net income (loss) attributable to noncontrolling interests,64,(18),
Net Income (Loss) Attributable to Chevron Corporation,"$ 15,625",$,(79)
Per Share of Common Stock,,"(5,543) $","2,924"
Net Income (Loss) Attributable to Chevron Corporation,,,
- Basic,$ 8.15 8.14 $,$ (2.96),$ 1.55
