,,,,At December 31,At December 31,At December 31,Year ended December 31,Year ended December 31,Year ended December 31,Year ended December 31,Year ended December 31,Year ended December 31
,Gross Investment at Cost,Gross Investment at Cost,Gross Investment at Cost,Net Investment,Net Investment,Net Investment,Additions at Cost²,Additions at Cost²,Additions at Cost²,Depreciation Expense³,Depreciation Expense³,Depreciation Expense³
,2021,2020,2019,2021,2020,2019,2021,2020,2019,2021,2020,2019
Upstream,,,,,,,,,,,,
United States,"$ 93,393 $96,555 $82,117",,,"$36,027 $38,175 $31,082",,,,"$ 4,520 $13,067 $ 7,751",,,"$ 5,675 $ 6,841 $15,222",
International,"202,757","209,846","206,292","94,770","102,010","102,639","2,349","11,069","3,664","10,824","11,121","12,618"
Total Upstream,"296,150","306,401","288,409","130,797","140,185","133,721","6,869","24,136","11,415","16,499","17,962","27,840"
Downstream,,,,,,,,,,,,
United States,"26,888","26,499","25,968","10,766","11,101","11,398",543,638,"1,452",833,851,869
International,"8,134","7,993","7,480","3,300","3,395","3,114",234,573,355,296,283,256
Total Downstream,"35,022","34,492","33,448","14,066","14,496","14,512",777,"1,211","1,807","1,129","1,134","1,125"
All Other,,,,,,,,,,,,
United States,"4,729","4,195","4,719","2,078","1,916","2,236",143,194,324,290,403,243
International,144,144,146,20,21,25,7,5,9,,7 9,10
Total All Other,"4,873","4,339","4,865","2,098","1,937","2,261",150,199,333,297,412,253
Total United States,"125,010","127,249","112,804","48,871","51,192","44,716","5,206","13,899","9,527","6,798",8.095,"16,334"
Total International,"211,035","217,983","213,918","98,090","105,426","105,778","2,590","11,647","4,028","11,127","11,413","12,884"
Total,,"$336,045 $345,232 $326,722",,"$146,961","$156,618 $150,494",,,"$ 7,796 $25,546 $13,555",,,"$17,925 $19,508 $29,218",
