"Year ended December 31,2021",2020,2019
Income tax expense (benefit),,
U.S. federal,Current,
,"174,182,73",(73)
U.S. federal,Deferred,
,1004,"-1315,-1074"
State and local,Current,
,"222,65,153",
State and local,Deferred,
,"202,-152,-172",
Total United States,Total United States,Total United States
,"1602,-1584,-1166",-1166
International,Current,
,"4854,1833,4577",4577
International,Deferred,
,"-506,-2141,-720",-720
Total International,Total International,Total International
,"4348,-308,3857",3857
Total income tax expense (benefit),Total income tax expense (benefit),Total income tax expense (benefit)
,"$ 5,950,-1892,2691",2691
