,Year ended December 31,Year ended December 31,Year ended December 31
,2021,2020,2019
United States,,,
Import duties and other levies,7,7,2
Property and other miscellaneous taxes,"3,378","2,248","1,785"
Payroll taxes,302,235,254
Taxes on production,628,317,355
Total United States,"4,315","2,807",2.396
International,,,
Import duties and other levies,49,39,35
Property and other miscellaneous taxes,"2,225","1,461","1,435"
Payroll taxes,113,117,125
Taxes on production,138,75,145
Total International,"2,525","1,692","1,740"
Total taxes other than on income,"$ 6,840","$ 4,499 $","4,136"
