"Millions of dollars, except per-share amounts",4th Q,3rd Q,2nd Q,1st Q,4th Q,3rd Q,2nd Q,1st Q
Revenues and Other Income,Sales and other operating revenues,"$45,861","$42,552","$36,117","$31,076","$24,843","$23,997","$15,926,$29,705"
Income from equity affiliates,"1,657","1,647","1,442",911,568,510,"(2,515)",965
Other income,611,511,38,42,(165),(56),83,831
Total Revenues and Other Income,"48,129","44,710","37,597","32,029","25,246","24,451","13,494","31,501"
Costs and Other Deductions,Purchased crude oil and products,"27,341","23,834","20,629","17,568","13,387","13,448","8,144,15,509"
Operating expenses,"5,507","5,353","4,899","4,967","4,898","4,604","5,530","5,291"
"Selling, general and administrative expenses","1,271",657,"1,096",990,"1,129",832,"1,569",683
Exploration expenses,192,158,113,86,367,117,895,158
"Depreciation, depletion and amortization","4,813","4,304","4,522","4,286","4,486","4,017","6,717","4,288"
Taxes other than on income,"1,779","2,075","1,566","1,420","1,276","1,091",965,"1,167"
Interest and debt expense,155,174,185,198,199,164,172,162
Other components of net periodic benefit costs,86,100,165,337,461,222,99,98
Total Costs and Other Deductions,"41,144","36,655","33,175","29,852","26,203","24,495","24,091","27,356"
Income (Loss) Before Income Tax Expense,"6,985","8,055","4,422","2,177",(957),(44),"(10,597)","4,145"
Income Tax Expense (Benefit),"1,903","1,940","1,328",779,(301),165,"(2,320)",564
Net Income (Loss),"$5,082","$6,115","$3,094","$1,398",$(656),$(209),"$(8,277)","$3,581"
Less: Net income attributable to noncontrolling interests,27,4,12,21,9,(2),(7),(18)
Net Income (Loss) Attributable to Chevron Corporation,"$5,055","$6,111","$3,082","$1,377",$(665),$(207),"$(8,270)","$3,599"
Per Share of Common Stock,Net Income (Loss) Attributable to Chevron Corporation,Basic,$2.63,$3.19,$1.61,$0.72,$(0.33),"$(0.12),$1.93"
Diluted,$2.63,$3.19,$1.60,$0.72,$(0.33),$(0.12),$(4.44),$1.93
Dividends per share,$1.34,$1.34,$1.34,$1.29,$1.29,$1.29,$1.29,$1.29
