"Year ended December 31,2021",2020,2019,Revenues and Other Income,Sales and other operating revenues,"$ 155,606","$ 94,471","$ 139,865"
Income (loss) from equity affiliates,"5,657",(472),"3,968",,,,
Other income,"1,202",693,"2,683",,,,
Total Revenues and Other Income,"162,465","94,692","146,516",,,,
Costs and Other Deductions,Purchased crude oil and products,Operating expenses,"Selling, general and administrative expenses",Exploration expenses,"Depreciation, depletion and amortization",Taxes other than on income,Interest and debt expense
,"89,372","20,726","4,014",549,"17,925","6,840",712
,"50,488","20,323","4,213","1,537","19,508","4,499",697
,"80,113","21,385","4,143",770,"29,218","4,136",798
Total Costs and Other Deductions,,,,,,,
Income (Loss) Before Income Tax Expense,,,,,,,
Income Tax Expense (Benefit),,,,,,,
Net Income (Loss),,,,,,,
Less: Net income (loss) attributable to noncontrolling interests,64,(18),,,,,
Net Income (Loss) Attributable to Chevron Corporation,"$ 15,625","$ (5,543)","$ 2,924",,,,
Per Share of Common Stock,Net Income (Loss) Attributable to Chevron Corporation - Basic,Net Income (Loss) Attributable to Chevron Corporation - Diluted,,,,,
,$ 8.15,$ 8.14,$ (2.96),$ 1.55,$ 1.54,,
