At December 31,Year ended December 31,Gross Investment at Cost,Net Investment,Additions at Cost,Depreciation Expense
2021,2020,2019,2021,2020,2019
Upstream,United States,"$ 93,393 $96,555 $82,117","$36,027 $38,175 $31,082","$ 4,520 $13,067 $ 7,751","$ 5,675 $ 6,841 $15,222"
Upstream,International,"202,757","209,846","206,292","94,770"
Upstream,Total Upstream,"296,150","306,401","288,409","130,797"
Downstream,United States,"26,888","26,499","25,968","10,766"
Downstream,International,"8,134","7,993","7,480","3,300"
Downstream,Total Downstream,"35,022","34,492","33,448","14,066"
All Other,United States,"4,729","4,195","4,719","2,078"
All Other,International,144,144,146,20
All Other,Total All Other,"4,873","4,339","4,865","2,098"
Total United States,"125,010","127,249","112,804","48,871","51,192"
Total International,"211,035","217,983","213,918","98,090","105,426"
Total,,"$336,045 $345,232 $326,722","$146,961","$156,618 $150,494",
