"Balance at December 31, 2020","$ 18,421 $","160,377 $","(5,612) $","(41,498) $","131,688","$ 1,038","$ 132,726"
Treasury stock transactions,315,一,,一,315,丨,315
NBLX Acquisition,138,(148),,377,367,(321),46
Net income (loss),,"15,625",,,"15,625",64,"15,689"
Cash dividends ($5.31 per share),,"(10,179)",,,"(10,179)",(53),"(10,232)"
Stock dividends,,(3),,,(3),,(3)
Other comprehensive income,,,"1,723",,"1,723",,"1,723"
Purchases of treasury shares,,,,"(1,383)","(1,383)",,"(1,383)"
Issuances of treasury shares,,,,"1,040","1,040",,"1,040"
"Other changes, net",,,(126),,(126),145,19
"Balance at December 31, 2021","$ 18,874 $",,"165,546 $","(3.889) $ (41,464) $","139,067",$ 873,"$ 139,940"
