,Consolidated Companies,Consolidated Companies,Consolidated Companies,Consolidated Companies,Consolidated Companies,Consolidated Companies,Consolidated Companies,Affiliated Companies,Affiliated Companies
,,Other,,,,,,,
Millions of dollars,U.S.Americas,,Africa,Asia,Australia,Europe,Total,TCO,Other
"At December 31, 2021",,,,,,,,,
Unproved properties Proved properties and,"$3,302 $ 2.382 $",,191 $,,"982 $1,987 $","- $ 8,844",,$ 108$,
related producing assets,"80,821","22,031","47,030","46,379","22,235","2,156","220,652","14,635","1,558"
Support equipment,"2,134",198,"1,096",906,"18,918",1,"23,252",582,1
Deferred exploratory wells,328,121,196,246,"1,144",74,"2,109",1,1
Other uncompleted projects,"6,581",431,"1,096",903,"1,586",24,"10,621","19,382",31
Gross Capitalized Costs,"93,166","25,163","49,609","49,416","45,870","2,254","265,478","34,707","1,589"
Unproved properties valuation,289,"1,536",131,855,110,1,"2,921",70,1
Proved producing properties - Depreciation and depletion,"55,064","11,745","37,657","33,300","8,920",602,"147,288","8,461",514
Support equipment depreciation,"1,681",155,778,623,"3,724",1,"6,961",362,二
Accumulated provisions,"57,034","13,436","38,566","34,778","12,754",602,"157,170","8,893",514
Net Capitalized Costs,,,,,"$36,132 $ 11,727 $ 11,043 $ 14,638 $ 3,116 $","1,652 $108,308",,"$ 25,814 $","1,075"
"At December 31, 2020",,,,,,,,,
Unproved properties,"$ 3,519 $","2,438 $",188$,984$,"1,987 $",,"-$9,116",$ 108$,
Proved properties and related producing assets,"81,573","24,108","46,637","58,086","22,321","2,117","234,842","11,326","1,548"
Support equipment,"1,882",197,"1,087","2,042","18,898",1,"24,106","2,023",
Deferred exploratory wells,411,142,202,505,"1,144",108,"2,512",,1 1
Other uncompleted projects,"5,549",582,"1,030",803,"1,157",20,"9,141","1 18,806",23
Gross Capitalized Costs,"92,934","27,467","49,144","62,420","45,507","2,245","279,717","32,263","1,571"
Unproved properties valuation,179,"1,471",126,856,110,1,"2,742",67,1
Proved producing properties -,,,,,,,,,
Depreciation and depletion Support equipment depreciation,"55,839","13,141 159","35,899 742","42,354","7,541",498,"155,272","6,746",493
Accumulated provisions,"1,002","14,771","36,767","1,644",2.965,,"6,512","1,169",
Net Capitalized Costs,"57,020",,"12,377 $","44,854","10,616",498,"164,526",7.982,493
"At December 31, 2019","$35,914 $ 12,696 $",,,,"17,566 $ 34,891 $","1,747 $ 115,191",,"$ 24,281 $","1,078"
Unproved properties,"$4,620 $","2,492 $",151$,"1,081 $","1,986$",,"$10,330",$ 108$,
Proved properties and related producing assets,,"24,189",,,,,,,
Support equipment,"82,199 2,287",311,"45,756 1,098","56,648 2,075","22,032 18,610","2,082","232,906 24,381","10,757 1,981","4,311"
Deferred exploratory wells,533,147,405,513,"1,322",1 121,"3,041",,1 丨
Other uncompleted projects,"5,080",505,"1,176",926,"1,023",15,8.725,"1 16,503",743
Gross Capitalized Costs,"94,719","27,644","48,586","61,243","44,973",,,,
Unproved properties valuation,"3,964","1,271",120,842,109,"2,218","279,383 6,306","29,349 65","5,054 1"
Proved producing properties-,,,,,,,,,
Depreciation and depletion,"56,911","12,644","33,613","44,871","6,064",404,"154,507","6,018","1,912"
Support equipment depreciation,"1,635",226,772,"1,605","2,272",,"6,510","1,053",二
Accumulated provisions,"62,510","14,141","34,505","47,318","8,445",404,"167,323","7,136","1,912"
Net Capitalized Costs,,,,,"$32,209 $ 13,503 $ 14,081 $ 13,925 $ 36,528 $","1,814 $ 112,060",,"$ 22.213 $3,142",
