,Investments and Advances At December 31,Investments and Advances At December 31,Investments and Advances At December 31,Equity in Earnings Year ended December 31,Equity in Earnings Year ended December 31,Equity in Earnings Year ended December 31
,,2021,2020,2021,2020,2019
Upstream,,,,,,
Tengizchevroil,$,"23,727 $","22,685","$ 2,831 $","1,238 $",3.067
Petropiar,,1,,1,"(1,396)",80
Petroboscan,,1,,1,"(1,112)",(11)
Caspian Pipeline Consortium,,805,835,155,159,155
Angola LNG Limited,,"2,180","2,258",336,(166),(26)
Other*,,"1,859","1,875",187,137,(478)
Total Upstream,,"28,571","27,653",3.509,"(1,140)",2787
Downstream,,,,,,
Chevron Phillips Chemical Company LLC,,"6,455","6,181","1,842",630,
GS Caltex Corporation,,"3,616","3,547",85,(185),880
Other,,"1,725",1389,220,223,13
Total Downstream,,"11,796","11,117",,,288
All Other,,,,"2,147",668,"1,181"
Other,,(10),,,,
,s,,(14),1,,
Total equity method,,"40,357$ 339","38,756 296","5,657$ $",(472) $,"3,968"
Other non-equity method investments,$,"40,696$",39.052,,,
Total investments and advances,$,"8,540 $",7.978,"1,889$",709$,641
Total United States Total International,$,"32,156 $","31,074","S $ 3,768$","(1,181) $","3,327"
