Pension Benefits,,,Pension Benefits,,,Other Benefits,,,
2021 U.S.,Int'l.,2020 U.S.,Int'l.,2019 U.S.,Int'l.,Other Benefits,2021,2020,2019
Net Periodic Benefit Cost,,,,,,,,,
Service cost $,450,$ 123,$ 497,$ 130,$,406$,139,$ 43,$ 38
Interest cost,235,137,353,175,397,199,,53,71
Expected return on plan assets,(596),(171),(650),(209),(565),(231),—,—,—
Amortization of prior service costs (credits),2,8,2,10,2,11,,(27),(28)
Recognized actuarial losses,309,46,385,45,239,21,,16,3
Settlement losses,672,7,620,37,259,3,,一,
Curtailment losses (gains),1,(1),92,2,,16,,(27),
Total net periodic benefit cost,"1,072",149,"1,299",190,738,158,85,,57
Changes Recognized in Comprehensive Income,,,,,,,,,
Net actuarial (gain) loss during period,(725),(408),"1,584",230,"1,939",338,(111),,190
Amortization of actuarial loss,(981),(73),"(1,005)",(98),(498),(24),,(15),(4)
Prior service (credits) costs during period,—,—,—,—,29,,,1,1
Amortization of prior service (costs) credits,(2),(11),(2),(17),(2),(30),,27,42
Total changes recognized in other comprehensive income,"(1,708)",(492),577,115,"1,439",313,(99),,228
Recognized in Net Periodic Benefit Cost and Other Comprehensive Income $,(636) $,(343),"$ 1,876 $",,"305 $ 2,177 $",471,$,(14),$ 285
