"Balance at December 31, 2018",,(124),(10),(2),"(3,408)","(3,544)"
Components of Other Comprehensive Income (Loss):,Before Reclassifications,(18),2,-,"(1,855)",
,Reclassifications3,| (18),2,3,406,"409 (-1,446)"
"Net Other Comprehensive Income (Loss), Balance at December 31, 2019",,-142,(8),-,"(1,432)",
Components of Other Comprehensive Income (Loss):,Before Reclassifications,35,(2),-,"(1,454)",
,Reclassifications3,1,,6,832,832
"Net Other Comprehensive Income (Loss), Balance at December 31, 2020",,-107,(10),-,(655),
Components of Other Comprehensive Income (Loss):,Before Reclassifications,-55,(1),6,887,
,"Reclassifications2,3",1,,6,830,836
"Net Other Comprehensive Income (Loss), Balance at December 31, 2021",,-162,(11),-,"(1,779)",
