,Year ended December 31,Year ended December 31,Year ended December 31,Year ended December 31,Year ended December 31
,,2021,,2020,2019
Distributions more (less)than income from equity afiliates includes the following:,,,,,
Distributions from equity affiliates,$,"3,659",$,"1,543 $","1,895"
(Income) loss from equity affiliates,,"(5,657)",,472,"(3,968)"
Distributions more (less) than income from equity affiliates,$,"(1,998)",$,2.015$,"(2,073)"
Net decrease (increase) in operating working capital was composed of the following:,$,"(7,548)",$,2.423 $,"1,852"
Decrease (increase) in accounts and notes receivable Decrease (increase) in inventories,,(530),,284,7
Decrease (increase) in prepaid expenses and other current assets,,,,,
,,19,,(87),(323)
Increase (decrease)in accounts payable and accrued liabilities,,"5,475",,"(3,576)",(109)
Increase (decrease) in income and other taxes payable,$,"1,223",,(696),67
Net decrease (increase) in operating working capital,,"(1,361)",$,"(1,652)$","1,494"
Net cash provided by operating activities includes the following cash payments: Interest on debt (net of capitalized interest),$,699,$,720$,
Income taxes,,"4,355",,"2,987","810 4,817"
Proceeds and deposits related to asset sales and returns of investment consisted of the,,,,,
following gross amounts: Proceeds and deposits related to asset sales,$,"1,352",$,,
Returns of investment from equity affiliates,,439,,"2,891 $",2.809
Proceeds and deposits related to asset sales and returns of investment,$,"1,791",$,"77 2,968$",142
Net maturities (investments) of time deposits consisted of the following gross amounts:,,,,,"2,951"
Investments in time deposits,$,,$,$,
Maturities of time deposits,,,,,950
Net maturities of (investments in) time deposits,$,,$,$,950
Net sales (purchases) of marketable securities consisted of the following gros amounts:,,,,,
Marketable securities purchased,$,(4),$,$,
Marketable securities sold,,3,,35,(1)
Net sales (purchases) of marketable securities,$,1,$,35S,3
Net repayment (borrowing) of loans by equity affiliates:,,,,,2
Borrowing of loans by equity affiliates,$,,$,(3.925）$,
Repayment of loans by equity affiliates,,401,,,"(1,350)"
Net repayment (borrowing) of loans by equity affiliates,$,401,$,"2,506 (1,419)$",105
Net borrowings (repayments) of short-term obligations consisted of the following gross and net amounts:,,,,,"(1,245)"
Proceeds from issuances of short-term obligations,$,"4,448",$,,
Repayments of short-term obligations,,"(6,906)",,"10,846$ (9,771)","2,586"
Net borrowings (repayments)of short-term obligations with three months or lessmaturity,,"(3,114)",,(424),"(1,430)"
Net borrowings (repayments) of short-term obligations,$,"(5,572)",$,651$,"(3,977)"
Net sales (purchases) of treasury shares consists of the following gross and net amounts:,,,,,(2.821)
Shares issued for share-based compensation plans,$,"1,421",$,226$,"1,104"
Shares purchased under share repurchase and deferred compensation plans,,"(1,383)",,"(1,757)",
Net sales (purchases) of treasury shares,$,38,$,"(1,531) $","(4,039) (2.935)"
Net contributions from(distributions to) noncontroling interests consisted ofthe following,,,,,
gross and net amounts:,,,,,
Distributions to noncontrolling interests,$,(53),$,(26)$,(18)
Contributions from noncontrolling interests,,17,,2,
Net contributions from (distributions to) noncontrolling interests,$,(36),$,(24)$,(18)
