,"At December 31,2021","At December 31,2021","At December 31,2021","At December 31,2021","At December 31,2020","At December 31,2020","At December 31,2020"
,,Operating Leases,,Finance Leases,Operating Leases,,Finance Leases
Deferred charges and other assets,$,"3,668",$,1 $,"3,949",$,1
"Properties, plant and equipment, net",,,,429,,,455
Right-of-use assets*,$,"3,668",$,429,"$ 3,949",$,455
Accrued Liabilities,$,995,$,1,"$ 1,291",$,1
Short-term Debt,,一,,48,,,186
Current lease liabilities,,995,,48,"1,291",,186
Deferred credits and other noncurrent obligations,,"2,508",,1,"2,615",,1
Long-term Debt,,一,,449,一,,447
Noncurrent lease liabilities,,"2,508",,449,2615,,447
Total lease liabilities,$,"3,503",$,497,"$ 3,906",$,633
Weighted-average remaining lease term (in years),,7.8 2.2%,,13.2 4.2%,,7.2 2.8%,10.4 3.9%
