U.S. Upstream,,,
Net Crude Oil and Natural Gas Liquids Production (MBPD),858,790,724
Net Natural Gas Production (MMCFPD),1689,1607,1225
Net Oil-Equivalent Production (MBOEPD),1139,1058,929
Sales of Natural Gas (MMCFPD),4007,3894,4016
Sales of Natural Gas Liquids (MBPD),201,208,130
Revenues from Net Production,,,
Liquids ($/Bbl),56.06,"30.53,48.54",
Natural Gas ($/MCF),3.11,0.98,1.09
International Upstream,,,
Net Crude Oil and Natural Gas Liquids Production (MBPD),956,"1078,1141",
Net Natural Gas Production (MMCFPD),6020,5683,5932
Net Oil-Equivalent Production (MBOEPD),1960,2025,2129
Sales of Natural Gas (MMCFPD),5178,5634,5869
Sales of Natural Gas Liquids (MBPD),84,46,34
Revenues from Liftings,,,
Liquids ($/Bbl),64.53,"36.07,58.14",
Natural Gas ($/MCF),5.93,4.59,5.83
Worldwide Upstream,,,
Net Oil-Equivalent Production (MBOEPD),1139,"1058,929",
United States,1139,1058,929
International,1960,2025,2129
Total,3099,3083,3058
U.S. Downstream,,,
Gasoline Sales (MBPD),655,"581,667",
Other Refined Product Sales (MBPD),484,422,583
Total Refined Product Sales (MBPD),1139,1003,1250
Sales of Natural Gas Liquids (MBPD),29,25,101
Refinery Input (MBPD),903,793,947
International Downstream,,,
Gasoline Sales (MBPD),321,"264,289",
Other Refined Product Sales (MBPD),994,957,1038
Total Refined Product Sales (MBPD),1315,1221,1327
Sales of Natural Gas Liquids (MBPD),96,74,72
Refinery Input (MBPD),576,584,617
