EarningsbyMajor Operating Area,,,,
Millions of dollars,2021,,2020,2019
Upstream,,,,
United States,7.319,"$ (1,608)",$,"(5,094)"
International,"8,499",(825）,,"7,670"
Total Upstream,"15,818","(2,433)",,2.576
Downstream,,,,
United States,2.389,(571),,"1,559"
International,525,,618,922
Total Downstream,"2,914",,47,"2,481"
All Other,"(3,107)","(3,157)",,"(2,133)"
"Net Income (Loss) Atributable to Chevron Corporation,2","$ 15,625",$,"(5,543) $","2,924"
1 Includes foreign currency effects:,s 306,$,（645) $,(304)
