,,,,,,,,Affiliated Companies,Affiliated Companies
,Other,Other,,,,,,,
,U.S.Americas,,Africa,Asia,Australia,Europe,Total,TCO,Other
"Year Ended December 31, 2021",,,,,,,,,
Average sales prices,,,,,,,,,
"Crude, per barrel",$,65.16 $,62.84 $ 72.38 $,63.71 $,71.40 $,69.20 $,66.14,$ 58.31 $,1
"Natural gas liquids,per barrel",28.54,26.33,39.40,一,30.00,1,29.10,27.13,66.00
"Natural gas,per thousand cubic feet",3.02,3.39,2.66,4.10,8.22,12.50,5.08,0.47,9.71
"Average production costs, per barrel²",10.45,13.91,12.40,10.52,3.65,13.40,9.90,4.09,1.25
"Year Ended December 31, 2020",,,,,,,,,
Average sales prices3,,,,,,,,,
"Crude, per barrel",$,36.28$,35.80 $ 38.89$,39.77 $,37.82 $,34.20 $,37.41,$ 25.39 $,25.22
"Natural gas liquids, per barrel",9.97,11.79,20.51,,40.97,,11.11,10.58,22.52
"Natural gas,per thousand cubic feet",0.96,2.20,1.61,4.30,5.42,1.07,3.68,0.54,0.61
"Average production costs, per barrel²",10.01,14.27,13.19,11.24,4.02,13.23,10.07,3.17,3.91
"Year Ended December 31, 2019",,,,,,,,,
Average sales prices,,,,,,,,,
"Crude, per barrel",$ 57.58 $,57.50 $,63.94$,59.53$,60.15$,61.80 $,59.43,$ 50.85$,47.58
"Natural gas liquids, per barrel",11.22,7.50,24.00,,1,,12.60,18.57,31.94
"Natural gas,per thousand cubic fet",1.07,2.24,1.84,4.73,7.54,4.43,4.86,0.79,0.99
"Average production costs,per barrel²",10.48,15.97,11.90,12.74,4.08,14.28,10.62,3.53,7.93
