At December 31,Weighted Average Interest Rate (%),Range of Interest Rates (%),Principal,Principal
Notes due 2022,2.179,0.333 - 2.498,$3,"800,$3,800"
Floating rate notes due 2022,0.536,0.264 - 0.705,1,"000,1,000"
Notes due 2023,2.377,0.426 - 7.250,4,"800,4,800"
Floating rate notes due 2023,0.617,0.354 - 1.054,800,800
Notes due 2024,3.291,2.895 - 3.900,1,"650,1,650"
Notes due 2025,1.724,0.687 - 3.326,4,"000,4,000"
Notes due 2026,2.954,,2,"250,2,250"
Notes due 2027,2.379,1.018 - 8.000,2,"000,2,000"
Notes due 2028,3.850,,600,600
Notes due 2029,3.250,,500,500
Notes due 2030,2.236,,1,"500,1,500"
Debentures due 2031,8.625,,102,108
Debentures due 2032,8.416,8.000 - 8.625,183,222
Notes due 2040,2.978,,293,500
Notes due 2041,6.000,,397,850
Notes due 2043,5.250,,330,"1,000"
Notes due 2044,5.050,,222,850
Notes due 2047,4.950,,187,500
Notes due 2049,4.200,,237,500
Notes due 2050,2.763,2.343 - 3.078,1,"750,1,750"
Debentures due 2097,7.250,,60,84
Bank loans due 2022 - 2023,1.765,1.520 - 1.920,239,"1,402"
3.400% loan,3.400,,218,218
"Medium-term notes, maturing from 2023 to 2038",4.485,0.080 - 7.900,23,23
Notes due 2021,,,2,"600,"
Total including debt due within one year,,,27,"141,33,507"
Debt due within one year,,,(4,"946),(2,600)"
Fair market value adjustment for debt acquired in the Noble Energy acquisition,,,741,"1,690"
Reclassified from short-term debt,,,7,"759,9,825"
Unamortized discounts and debt issuance costs,,,(31),(102)
Finance lease liabilities,,,449,447
Total long-term debt,,,31,"113,42,767"
