,U.S.,U.S.,U.S.,U.S.,U.S.,U.S.,U.S.,U.S.,U.S.,U.S.,Int'1.,Int'1.,Int'1.
,Total,Level 1,,Level 2,Level 3,NAV,,Total,Level 1,Level 2,,Level 3,NAV
"At December 31, 2020",,,,,,,,,,,,,
Equities,,,,,,,,,,,,,
U.s.,"$ 2,286","$ 2,286",$,$,,,443,$,443 $,,$,$,
International,"2,211","2,210",,,1,,,373,373,,,,
Collective Trusts/Mutual Funds²,"1,107",48,,,,"1,059",192,,7,,,,185
Fixed Income,,,,,,,,,,,,,
Government,231,,231,,,,240,,125,115,,,
Corporate,778,,778,,,,578,,10,568,,,
Bank Loans,129,,127,,2,,,,,,,,
Mortgage/Asset Backed,1,,1,,,,,,,4,,,
Collective Trusts/Mutual Funds²,"1,901",13,,,,"1,888","2,520",,4,,,,"2,516"
Mixed Funds3,,,,,,,127,,38,89,,,
Real Estate4,"1,018",,,,,"1,018",448,,,,,45,403
Alternative Investments,,,,,,,,,,,,,
Cash and Cash Equivalents,221,209,,12,,,,417,408,3,,,6
Other,47,(19),22,,41,3,,21,(2),19,,4,
"Total at December 31,2020","$9,930","$ 4,747","$1,171",$,44,"$3,968","$5,363","$1,406",$,798,$,49,"$3,110"
"At December 31, 2021",,,,,,,,,,,,,
Equities U.s,"$1,677","$ 1,677",$,$,,,,,,,,,
International,"1,285","1,284",,,1,,491 356,$,491 $,,$,$,
Collective Trusts/Mutual Funds²,"2,541",32,,,,,134,,355,,,1,
Fixed Income,,,,,,2.509,,,6,,,,128
Government,215,,,,,,,,,,,,
Corporate,,,215,,,,229,,135,94,,,
Bank Loans,660,,660,,,,532,,2,530,,,
,137,,136,,1,,一,,,一,,,
Mortgage/Asset Backed Collective Trusts/Mutual Funds2,1,,1,,,,4,,,4,,,
,"1,907",13,,,,"1,894",2.388,,1,一,,,"2,387"
Mixed Funds3 Real Estate4,一,,,,,"1,172",99 312,,12,87,,42,270
Alternative Investments,"1,172 一",,,,,,,,,,,,
