2021,2021,2021,2020,2019
Income (loss) before income taxes,Income (loss) before income taxes,Income (loss) before income taxes,,
United States $,United States $,United States $,"$ (5,700) $","(5,483)"
International,International,International,"(1,753)","11,019"
Total income (los) before income taxes,Total income (los) before income taxes,Total income (los) before income taxes,"(7,453)","5,536"
Theoretical tax (at U.S. statutory rate of 21% ),Theoretical tax (at U.S. statutory rate of 21% ),Theoretical tax (at U.S. statutory rate of 21% ),"(1,565)","1,163"
Effect of U.S. tax reform,Effect of U.S. tax reform,Effect of U.S. tax reform,1,3
Equity affiliate accounting ffect,Equity affiliate accounting ffect,Equity affiliate accounting ffect,211,(687)
Effect of income taxes from international operations,Effect of income taxes from international operations,Effect of income taxes from international operations,(39),"2,196"
"State and local taxes on income, net of U.S.federal income tax benefit","State and local taxes on income, net of U.S.federal income tax benefit","State and local taxes on income, net of U.S.federal income tax benefit",（65),(18)
"Prior year tax adjustments, claims and settlements '","Prior year tax adjustments, claims and settlements '","Prior year tax adjustments, claims and settlements '",(236),192
Tax credits,Tax credits,Tax credits,(33),(18)
"Other U.S. 1,2","Other U.S. 1,2","Other U.S. 1,2",(165),(140)
"Total income tax expense (benefit) $ 5,950","Total income tax expense (benefit) $ 5,950","Total income tax expense (benefit) $ 5,950","$ (1,892) $","2,691"
Effective income tax rate 27.5 %,Effective income tax rate 27.5 %,Effective income tax rate 27.5 %,,48.6 %
