Year ended December 31^1^,2021,2020,2019
Upstream,United States,$,"29,219$"
Upstream,International,$,"40,921$"
Upstream,Subtotal,$,"70,140$"
Upstream,Intersegment Elimination — United States,$,"(15,154)$"
Upstream,Intersegment Elimination — International,$,"(10,994)$"
Upstream,Total Upstream,$,"43,992$"
Downstream,United States,$,"57,209$"
Downstream,International,$,"58,098$"
Downstream,Subtotal,$,"115,307$"
Downstream,Intersegment Elimination — United States,$,"(2,296)$"
Downstream,Intersegment Elimination — International,$,"(1,521)$"
Downstream,Total Downstream,$,"111,490$"
All Other,United States,$,506$
All Other,International,$,2$
All Other,Subtotal,$,508$
All Other,Intersegment Elimination — United States,$,(382)$
All Other,Intersegment Elimination — International,$,(2)$
All Other,Total All Other,$,124$
Sales and Other Operating Revenues,United States,$,"86,934$"
Sales and Other Operating Revenues,International,$,"99,021$"
Sales and Other Operating Revenues,Subtotal,$,"185,955$"
Sales and Other Operating Revenues,Intersegment Elimination — United States,$,"(17,832)$"
Sales and Other Operating Revenues,Intersegment Elimination — International,$,"(12,517)$"
Sales and Other Operating Revenues,Total Sales and Other Operating Revenues,$,"155,606$"
