,Year ended December 31,Year ended December 31,Year ended December 31
,2021,2020,2019
Upstream,,,
United States,"7,319","$ (1,608）$","(5,094)"
International,"8,499",(825),"7,670"
Total Upstream,"15,818","(2,433)",2.576
Downstream,,,
United States,2.389,(571),"1,559"
International,525,618,922
Total Downstream,"2,914",47,"2,481"
Total Segment Earnings,"18,732","(2,386)","5,057"
All Oother,,,
Interest expense,(662),（658）,(761)
Interest income,36,52,181
Other,"(2,481)","(2,551)","(1,553)"
Net Income (Loss) Attributable to Chevron Corporation,"15,625","$ (5,543)$","2,924"
